"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_G",4239.098,212.722,690.381,98.933,49.342,191.767,62.973,5.925,14063.527,788.295,101.357,324.557,1040.214,3159.823,164.393,282.813,376.302,325.683,258.824,121.837,4475.105,555.15,242.776,685.54,72.285,201.903,391.44,1365.739,151.12,5546.088,14252.323,1495.688,132.537,596.515,432.969,76.247,746.95,110.317,1057.529,289.603,501.402,218.829,395.123,1055.155,1193.479,241.986,388.939,419.56,285.672,0,36907.377,7.274,3736.49,12051.786,454.489,200.58,24.82,12652.918,-20093.71,110078.759
"TTL_H49",262.076,28.938,36.827,24.403,11.36,29.748,14.623,0.975,1079.633,37.676,12.144,26.27,122.768,169.693,7.875,13.812,59.677,55.791,61.433,12.284,191.96,38.777,16.966,28.03,1.953,14.453,29.743,238.825,9.688,555.741,1133.662,172.696,6.285,25.618,135.901,31.955,43.167,7.875,48.408,13.001,55.516,15.713,39.923,74.833,121.255,37.582,27.597,27.017,22.012,0,5341.458,1.006,557.411,562.86,30.349,265.078,35.801,2492.707,-1961.803,12559.026
"TTL_H50",69.808,19.785,108.133,6.714,12.795,7.729,8.948,0.285,290.52,19.597,2.759,11.374,127.275,89.742,3.105,6.763,16.806,18.809,13.653,5.592,202.928,27.041,9.446,13.6,2.779,9.197,12.86,97.888,2.982,206.974,1447.495,75.431,435.625,19.256,382.618,6.199,8.949,3.039,38.101,9.549,13.429,3.638,25.74,39.242,58.032,7.521,9.204,13.172,7.639,0,662.449,0.345,77.629,146.041,24.382,59.44,6.59,1386.796,-4387.109,2006.329
"TTL_H51",75.615,6.79,14.847,2.642,4.148,3.349,1.62,0.161,237.485,12.867,2.811,6.707,48.83,58.822,3.233,4.945,8.967,8.281,5.13,3.353,96.084,16.765,6.507,9.475,2.12,6.165,9.864,47.112,2.966,172.542,267.007,19.88,3.66,143.243,62.897,13.992,14.362,4.229,28.899,11.894,80.209,8.851,33.366,59.606,89.375,13.789,11.738,17.512,6.992,0,2707.092,0.165,107.528,454.933,4.377,176.221,28.15,1771.514,-1844.812,5176.872
"TTL_H52",80.004,8.838,24.746,6.102,2.855,8.757,2.796,0.305,341.152,12.144,3.958,8.224,51.88,54.065,2.564,4.266,13.668,15.876,19.33,3.66,79.446,13.427,5.433,10.759,0.984,5.123,9.732,59.384,3.17,165.541,707.206,88.859,30.636,121.787,213.641,8.103,14.916,2.533,25.879,6.598,17.735,6.01,15.649,29.191,43.315,6.193,5.942,10.415,6.066,0,729.961,1.624,167.959,276.091,10.763,15.3,1.278,4160.469,-940.444,6801.866
"TTL_H53",5.711,0.149,1.124,0.28,0.19,0.238,0.115,0.024,10.567,1.65,0.088,0.812,0.547,1.784,0.248,0.202,0.401,0.136,0.155,0.117,1.625,0.446,0.308,0.372,0.025,0.193,0.652,3.691,1.131,8.75,97.235,2.174,0.134,1.016,5.946,41.265,3.194,1.77,18.037,2.743,58.259,4.428,10.103,12.051,36.55,4.615,2.292,5.163,2.561,0,60.786,0.074,518.152,2.858,0.03,6.065,0.617,98.949,-28.311,1010.486
"TTL_I",14.142,1.173,3.607,1.04,1.25,3.81,0.986,0.109,74.963,6.978,0.461,2.153,5.192,13.693,1.351,1.299,2.144,0.918,0.943,0.776,7.931,3.231,1.403,1.659,0.211,1.111,3.02,9.308,2.944,68.561,223.33,15.387,1.967,18.92,20.031,2.47,20.593,5.781,19.771,13.935,75.621,9.77,42.214,68.951,108.86,29.696,15.244,38.611,12.744,0,7799.058,14.647,3203.867,19.86,0.358,1476.217,294.123,25.916,-1510.803,12303.505
"TTL_J58T60",5.001,0.184,0.949,0.193,0.269,0.41,0.145,0.026,38.214,2.408,0.136,2.466,1.318,5.949,0.785,0.447,0.724,0.291,0.345,0.194,9.07,1.593,0.493,0.798,0.076,0.64,1.461,3.135,0.976,13.933,78.575,2.52,0.298,2.097,2.935,0.868,7.333,126.632,74.337,14.803,26.996,5.741,177.859,17.855,30.464,18.923,3.46,34.508,4.364,0,630.667,9.449,674.697,110.698,1.44,20.118,0.508,796.928,-1114.378,1853.324
"TTL_J61",45.189,3.013,24.608,6.156,6.4,3.656,2.558,0.345,168.943,27.698,1.476,11.055,13.69,25.509,5.601,3.442,7.701,2.052,3.121,2.51,44.109,10.952,6.531,9.83,0.386,3.935,14.59,43.121,12.457,241.875,999.676,44.607,4.137,18.443,59.261,20.496,69.469,60.707,2566.99,119.051,541.941,90.431,190.691,277.501,548.257,69.976,54.766,107.44,61.413,0,4769.571,0.513,2625.864,117.419,0.96,75.278,10.075,5034.944,-657.747,18634.642
"TTL_J62_63",19.93,1.031,5.076,1.733,1.84,1.874,1.023,0.122,135.582,11.437,0.668,5.454,9.008,26.596,3.565,2.254,4.583,1.828,1.856,1.286,69.281,8.813,3.117,3.873,0.503,2.838,6.579,31.536,8.23,97.284,376.667,12.456,2.071,11.778,23.506,6.391,14.586,15.59,153.277,268.704,255.63,24.404,89.723,102.896,160.702,29.907,16.486,32.048,11.757,0,553.85,2.698,899.505,110.448,23.052,6.004,0.171,4749.314,-3267.854,5154.568
