"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_Q",0.547,0.027,1.396,0.001,0.002,0,0.044,0,4.249,0.086,0.028,0.079,0.002,0.258,0.501,0.156,1.063,0.379,7.54,1.046,0.324,0.219,0.327,0.004,0.008,0.018,0.984,1.463,0.885,9.67,10.203,1.563,0.316,2.016,0.822,0.275,7.363,1.658,0.659,2.886,5.489,0.089,7.205,5.52,20.696,20.723,663.313,3.179,7.924,0,331.704,177.443,2760.765,0.372,0.01,20.532,4.68,0.218,-22.924,4066.004
"TTL_R",0.045,0.002,0.079,0,0,0,0.01,0,0.432,0.011,0.003,0.013,0,0.024,0.024,0.011,0.041,0.037,0.496,0.055,0.026,0.014,0.037,0.001,0.001,0.003,0.117,0.098,0.084,0.825,1.045,0.081,0.114,0.309,0.087,0.017,1.087,2.193,0.133,0.36,0.405,0.159,1.137,1.18,0.996,1.621,0.557,10.156,3.611,0,117.489,61.08,119.262,2.87,0,44.026,296.459,14.755,-54.174,629.503
"TTL_S",0.627,0.016,2.039,0,0.001,0,0.145,0,2.873,0.134,0.055,0.065,0.002,0.208,0.203,0.062,0.468,0.493,5.076,0.613,0.184,0.093,0.241,0.002,0.005,0.016,0.765,1.257,0.923,7.318,7.418,0.95,0.965,1.994,1.272,0.119,11.256,2.673,0.652,2.584,8.673,1.635,7.825,7.018,4.695,7.981,19.45,5.442,45.978,0,267.98,249.511,72.269,0.812,0,23.616,73.869,0.28,-26.874,823.928
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.985,0,0,0,0,0,0,0,0,11.985
"IMP_OTHER",0.822,0.013,2.331,0,0.003,0,0.187,0,0.95,0.663,0.041,0.155,0.012,1.081,0.389,0.372,0.785,0.83,6.288,0.586,0.901,0.58,0.985,0.08,0.028,0.224,2.065,1.78,0.589,12.782,6.287,2.844,2.59,13.047,0.962,0.155,1.464,0.617,0.924,1.122,1.116,1.344,1.914,3.366,2.315,2.2,4.59,0.759,1.207,0,36.263,0,0.024,13.141,0.49,82.08,0,0,0,216.346
"TXS_INT_FNL",17.166,0.208,23.353,0.004,0.034,0,2.164,0.002,77.024,1.399,0.466,1.621,-0.009,1.438,2.562,2.384,6.231,10.191,82.845,5.482,2.489,2.042,4.239,0.083,0.073,0.329,11.539,2.818,7.25,93.891,88.216,29.844,3.112,5.326,10.398,1.773,87.442,10.377,6.337,13.929,19.293,48.324,26.071,35.337,32.288,36.312,50.877,13.755,17.69,0,1553.77,5.178,13.624,162.005,5.275,0,222.868,63.775,0,2922.512
"TTL_INT_FNL",323.743,4.551,817.29,0.084,0.732,0.007,39.429,0.045,2581.23,69.393,15.865,31.46,0.849,136.813,83.605,52.851,192.493,299.499,2219.219,210.24,156.14,81.859,195.323,6.455,6.875,35.17,325.209,557.852,150.359,3123.036,1507.288,297.475,608.188,1272.779,261.231,45.634,1040.044,309.629,285.775,717.877,783.911,1460.961,783.442,1030.711,746.746,900.752,1723.856,273.727,395.633,0,12521.614,651.318,7348.608,6269.117,71.252,1201.214,1990.593,10287.506,-12059.883,54444.674
"VALU",198.281,3.096,978.852,0.04,0.993,0.009,30.589,0.085,1228.565,28.81,8.882,37.068,1.872,49.232,-16.698,32.266,115.571,129.212,613.531,178.413,93.009,14.521,160.771,4.211,3.081,20.686,353.632,1049.416,187.549,1807.234,2216.983,255.566,182.377,538.781,348.675,62.168,894.819,120.099,278.663,856.221,1432.513,2547.326,1084.09,1036.683,1377.875,1458.196,2342.149,355.776,428.296,11.985,0,0,0,0,0,0,0,0,0,25142.018
"LABR",72.503,2.017,604.287,0.024,0.254,0.003,11.902,0.04,742.254,23.361,6.769,28.386,0.461,33.321,3.69,23.324,90.175,21.994,166.532,138.193,34.576,13.565,138.757,3.111,4.409,12.9,224.802,157.968,88.049,1109.924,1522.651,167.752,122.32,419.475,268.845,57.652,741.212,89.942,120.703,571.206,610.195,120.696,751.113,554.011,1119.916,1266.157,1772.797,240.467,311.936,11.985,0,0,0,0,0,0,0,0,0,14598.581
"OTXS",-17.923,0.077,15.136,0,0.264,0.004,13.987,0,20.37,0.907,-0.045,1.656,-0.016,0.004,0.511,1.094,1.568,2.913,0.785,2.769,-0.531,0.084,1.762,0.178,-2.034,0.278,3.017,8.114,3.375,25.122,37.8,-16.925,-48.538,0.846,15.54,1.09,17.338,-36.82,2.262,-5.779,99.803,198.436,-10.814,-0.507,98.11,7.994,19.729,16.932,11.951,0,0,0,0,0,0,0,0,0,0,491.872
"CFC",55.354,1.298,87.125,0.015,0.46,0.003,13.852,0.024,104.087,2.147,0.951,1.669,0.235,23.434,2.23,3.381,11.857,16.771,69.569,10.919,59.345,3.184,20.484,0.164,0.425,3.227,41.392,247.693,21.451,148.163,166.726,36.688,24.532,178.699,44.033,5.937,93.669,9.983,106.486,163.012,96.961,1195.61,157.073,174.242,159.848,164.384,224.477,40.34,39.73,0,0,0,0,0,0,0,0,0,0,4033.338
"NOPS",88.347,-0.295,272.304,0,0.016,-0.002,-9.152,0.021,361.854,2.396,1.207,5.357,1.193,-7.528,-23.129,4.466,11.971,87.534,376.646,26.532,-0.381,-2.312,-0.232,0.759,0.281,4.281,84.422,635.641,74.674,524.025,489.807,68.051,84.062,-60.239,20.258,-2.511,42.6,56.994,49.212,127.782,625.555,1032.585,186.719,308.936,0,19.66,325.146,58.038,64.678,0,0,0,0,0,0,0,0,0,0,6018.228
"OUTPUT",522.023,7.647,1796.142,0.124,1.726,0.016,70.018,0.13,3809.795,98.203,24.747,68.528,2.721,186.045,66.906,85.117,308.063,428.711,2832.75,388.652,249.148,96.38,356.094,10.666,9.956,55.857,678.841,1607.268,337.908,4930.27,3724.272,553.041,790.565,1811.559,609.906,107.802,1934.863,429.728,564.438,1574.097,2216.424,4008.287,1867.532,2067.394,2124.621,2358.948,4066.004,629.503,823.928,11.985,0,0,0,0,0,0,0,0,0,51305.352
