"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_H51",38.842,1.123,13.117,0.048,143.51,3.21,6.646,0.337,15.556,23.809,1.968,5.171,18.679,5.234,2.025,3.572,6.554,3.762,1.41,5.743,7.982,6.979,6.918,7.225,0.694,1.39,8.674,3.017,0.81,29.651,48.796,18.567,4.133,171.753,47.903,10.588,5.211,6.617,21.1,7.953,71.812,9.903,34.782,21.01,15.27,2.833,6.33,2.699,4.514,0,395.507,0.018,22.845,74.187,0.13,1.635,23.463,203.842,-496.014,1111.042
"TTL_H52",35.126,0.913,13.343,0.067,25.168,2.995,4.022,0.237,14.885,7.82,1.829,2.346,15.499,2.577,0.862,1.501,4.227,2.208,1.374,2.723,2.787,2.106,2.295,4.428,0.304,0.476,3.773,1.945,0.392,14.154,34.493,43.755,24.478,35.012,38.835,1.566,4.442,1.234,5.058,0.91,4.028,1.8,4.352,2.282,3.066,0.659,1.783,0.718,0.987,0,121.756,0.156,412.385,34.386,0.4,0.142,0.856,197.204,-155.37,993.753
"TTL_H53",0.476,0.019,0.091,0.008,3.151,0.232,0.334,0.037,0.131,0.522,0.073,0.395,0.417,0.12,0.08,0.095,0.237,0.062,0.052,0.212,0.419,0.21,0.388,0.377,0.037,0.049,0.521,0.707,0.149,1.288,10.005,2.087,0.206,0.611,2.184,14.825,0.102,2.429,12.372,1.109,24.926,2.24,5.432,1.414,2.966,0.435,0.644,0.346,1.201,0,50.24,0.017,8.622,0.615,0,0.056,0.555,0.775,-2.001,155.302
"TTL_I",5.536,0.314,1.019,0.056,46.265,8.952,5.249,0.376,2.01,5.395,0.732,2.363,9.073,2.112,0.957,1.564,3.106,1.173,0.968,3.412,6.136,3.715,3.882,3.201,0.453,0.647,5.665,4.398,1.237,23.576,42.815,33.456,6.904,24.063,14.119,1.765,1.659,10.544,27.599,12.462,69.686,12.831,50.636,19.006,19.222,6.327,11.429,5.689,9.042,0,2566.665,5.399,166.694,8.818,0.03,13.693,173.77,5.782,-15.203,3458.443
"TTL_J58T60",1.103,0.028,0.23,0.003,2.851,0.34,0.27,0.029,0.431,0.816,0.105,2.423,1.027,0.323,0.165,0.187,0.376,0.123,0.12,0.287,1.103,0.561,0.377,0.582,0.061,0.134,0.77,0.437,0.111,1.494,5.403,1.728,0.324,0.749,0.695,0.257,0.187,37.424,21.856,3.402,8.841,2.129,24.683,1.444,1.93,1.705,0.768,1.163,1.316,0,190.411,0.854,156.742,216.773,0.11,0.187,2.369,26.851,-54.992,672.179
"TTL_J61",1.708,0.142,0.411,0.069,45.987,1.556,2.99,0.226,0.576,3.37,0.498,2.207,5.075,0.727,0.725,0.681,1.927,0.499,0.603,2.002,6.624,2.355,3.456,4.314,0.28,0.435,5.074,3.361,0.75,14.934,36.946,17.054,2.485,4.08,8.43,2.923,0.715,18.122,691.443,19.568,90.391,20.218,37.244,12.695,17.129,2.558,6.325,2.833,5.946,0,1278.829,0.084,58.174,19.008,0.19,0.698,10.25,24.733,-45.257,2457.376
"TTL_J62_63",2.948,0.064,0.633,0.007,3.911,0.358,0.477,0.03,1.036,0.998,0.116,0.382,2.683,0.465,0.173,0.237,0.445,0.169,0.107,0.298,1.316,0.425,0.388,0.487,0.054,0.082,0.636,0.736,0.128,2.028,3.91,2.765,0.628,1.472,0.94,0.226,0.315,1.759,10.472,9.441,10.114,1.46,4.925,1.236,1.325,0.325,0.57,0.258,0.413,0,24.159,0.068,11.145,408.694,0.23,0.056,0.206,104.97,-246.43,377.468
"TTL_K",4.291,0.31,0.572,0.103,128.217,7.926,5.837,1.013,0.855,6.909,0.975,5.261,25.667,2.977,1.342,2.219,6.404,2.302,2.419,4.852,10.862,5.869,5.871,6.376,0.785,1.012,8.742,12.171,1.884,29.587,52.841,32.955,5.944,12.511,12.174,1.56,0.623,5.991,37.686,7.33,398.381,115.029,37.348,14.434,11.354,1.91,3.434,2.481,4.873,0,1380.237,1.555,142.757,27.479,0,0.671,8.718,18.509,-57.722,2574.674
"TTL_L",2.554,0.102,0.6,0.021,18.756,0.944,1.643,0.116,0.983,3.515,0.358,1.443,3.961,0.529,0.341,0.498,1.295,0.384,0.402,1.585,2.908,1.271,1.332,1.823,0.339,0.231,3.637,1.55,0.291,11.419,40.407,8.657,1.352,2.129,8.609,1.047,1.017,5.053,27.511,6.82,34.624,32.658,20.361,6.52,4.503,1.792,3.258,1.997,2.907,0,1566.18,3.074,90.341,425.646,0.04,2.913,28.065,53.18,-49.502,2395.991
"TTL_M",9.94,0.253,1.214,0.067,58.315,4.298,4.499,0.9,3.246,5.521,0.686,2.622,9.332,2.156,1.657,1.44,3.568,1.075,0.777,2.8,10.911,3.798,3.889,7.228,0.663,0.893,5.787,5.772,1.043,38.874,36.925,9.124,1.946,4.038,6.557,0.615,0.987,12.949,41.47,10.88,58.136,22.561,86.476,9.729,9.51,2.133,3.414,2.361,3.33,0,130.476,1.754,235.38,736.219,0.85,0.312,2.617,977.588,-645.628,1955.928
