"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_H51",37.002,4.028,1.98,0,21.54,0,4.316,1.463,86.655,7.414,7.569,8.595,32.024,17.902,28.731,9.172,15.559,4.271,1.886,21.178,14.446,16.584,88.865,2.177,1.809,1.67,40.922,28.37,19.765,168.704,583.914,55.624,316.747,243.027,267.572,110.236,31.705,26.277,23.251,63.705,244.257,76.652,237.776,490.377,200.279,68.744,78.279,37.634,37.902,0,435.655,0.022,9.319,38.803,4.014,214.783,69.098,1982.207,-4193.065,2449.393
"TTL_H52",262.619,19.218,30.59,0,44.014,0,30.849,15.383,862.144,37.912,73.576,61.85,343.008,143.995,102.338,54.227,121.183,34.582,11.497,159.877,51.428,53.966,325.022,19.073,10.061,6.099,193.814,189.447,166.3,683.817,5825.777,2040.915,19448.342,752.808,3096.969,195.485,110.055,54.409,64.887,75.671,104.525,78.641,321.168,387.935,261.671,57.627,87.118,59.278,51.201,0,1310.03,0.082,465.48,275.599,19.696,18.729,15.164,7736.119,-34844.704,12178.565
"TTL_H53",18.813,0.577,0.8,0,1.557,0,0.935,0.619,18.746,2.614,2.358,4.42,2.989,4.364,4.46,2.477,3.313,0.874,0.334,7.28,2.365,2.293,23.736,0.574,0.569,0.28,11.353,28.023,9.312,41.737,433.13,25.611,76.77,3.844,40.762,483.805,28.741,39.237,41.877,29.232,256.202,57.505,122.18,76.241,137.075,42.313,66.42,20.095,35.502,0,101.591,0.001,1.213,2.818,6.111,7.396,4.713,663.516,-312.285,2689.389
"TTL_I",12.863,1.557,0.769,0,3.748,0,2.226,1,40.5,4.171,3.625,4.296,9.545,12.674,8.658,7.06,6.752,2.863,1.045,19.522,5.632,6.766,39.35,0.75,1.167,0.612,19.948,29.332,20.578,129.556,303.275,56.478,234.198,17.355,36.941,9.49,63.086,25.112,16.387,52.838,120.739,59.088,196.41,194.876,148.989,103.445,180.899,53.759,47.17,0,7667.167,33.433,113.663,5.224,0.21,1798.568,2110.227,0.041,-1834.52,12211.111
"TTL_J58T60",18.985,0.909,0.855,0,3.786,0,1.689,1.166,112.211,7.294,6.315,19.519,12.193,24.3,23.732,7.888,9.962,4.179,1.864,22.33,14.958,14.951,56.83,1.904,2.336,1.718,40.585,50.425,22.796,119.342,561.691,39.539,148.092,7.761,31.6,19.283,101.847,1562.497,234.567,418.389,266.196,166.815,1059.567,231.824,220.8,395.637,149.086,198.3,104.118,0,2076.58,0.288,394.53,2108.514,33.883,24.577,8.067,2537.52,-4277.369,9429.22
"TTL_J61",23.103,1.763,2.502,0,8.216,0,2.874,1.356,52.579,6.582,6.13,9.353,12.45,11.126,16.737,7.12,9.742,2.846,1.491,26.171,14.36,10.035,80.114,2.336,1.723,0.968,41.172,52.295,22.995,185.914,559.471,62.896,191.705,6.824,49.181,34.129,92.444,97.379,934.52,238.877,359.594,215.398,311.011,250.639,293.543,99.712,125.568,63.081,67.424,0,3000,0.006,2.009,84.836,5.091,91.786,28.679,855.935,-1780.873,6954.914
"TTL_J62_63",54.364,3.546,4.13,0,25.792,0,11.631,4.843,358.356,27.157,20.786,46.078,68.526,88.408,102.636,35.176,54.683,19.214,7.374,123.701,89.207,61.799,312.011,7.474,10.699,5.916,167.078,399.998,135.374,740.128,2287.141,182.491,950.144,43.491,224.63,121.978,209.09,531.027,620.626,5068.045,2008.054,661.013,1975.344,1128.834,1033.301,562.081,354.61,234.45,189.454,0,599.615,0.031,9.204,4158.055,20.072,7.331,7.49,5611.644,-13599.468,18185.863
"TTL_K",342.711,10.233,14.736,0,52.58,0,13.803,13.591,477.367,32.143,27.996,49.379,135.273,97.281,64.771,49.659,71.972,26.847,12.883,136.924,50.531,53.64,301.546,7.903,10.18,4.884,164.033,401.986,125.284,857.437,1774.145,290.507,1113.485,49.262,164.913,45.058,195.568,82.385,125.235,243.902,4363.3,3354.938,742.06,664.963,454.567,166.984,176.048,124.166,129.022,0,10193.857,0.033,3.867,101.323,12.792,87.975,522.37,3698.589,-2511.98,29976.903
"TTL_L",39.219,3.929,2.657,0,17.604,0,8.001,3.551,243.351,27.699,16.177,30.936,37.94,33.399,31.391,24.381,32.062,10.381,4.976,106.749,30.93,26.885,155.327,5.08,10.383,2.519,153.152,110.485,63.348,703.837,3147.181,175.319,580.122,18.881,277.202,66.726,759.868,139.537,195.287,344.002,724.106,1917.447,861.837,661.629,405.946,346.591,465.403,229.967,188.007,0,32767.73,0.037,185.15,2139.399,0.48,382.568,592.716,8.12,-596.838,48920.767
"TTL_M",482.494,7.448,11.082,0,92.614,0,35.772,48.772,1082.529,62.599,40.113,82.45,190.845,210.148,240.334,111.624,141.901,48.516,15.59,299.299,200.233,117.69,719.547,33.399,33.486,15.903,375.449,745.66,248.913,3986.143,3932.963,276.685,1257.623,50.773,348.838,66.315,474.236,459.588,445.697,958.507,1912.139,2018.978,6283.315,1586.569,1408.811,581.699,587.409,380.35,310.536,0,590.108,4.399,232.749,6114.616,38.121,41.234,206.053,13119.501,-10986.176,42382.194
