"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4190.305,0,0,0,0,0,0,0,0,4190.305
"IMP_OTHER",0.112,0.012,0.032,0,0,0,0,0.183,3.933,1.453,0.143,0.955,0.425,0.897,0.217,0.343,0.87,0.245,0.052,0.371,2.386,0.573,0.863,1.81,0.229,0.454,0.198,0.866,1.175,6.467,68.79,5.199,16.797,30.8,0.469,4.785,21.697,3.171,12.613,3.369,11.779,4.691,4.523,1.13,1.277,2.412,1.375,1.993,2.074,0,215.925,0.134,1.776,41.297,0,294.952,0,0,0,778.292
"TXS_INT_FNL",4.838,0.449,1.083,0,0,0,0,6.161,87.225,14.103,3.499,10.585,4.375,14.511,5.957,6.676,4.274,1.966,0.702,5.309,34.578,11.323,13.156,18.611,8.359,4.279,4.556,72.838,37.668,75.069,1958.511,137.602,157.841,544.76,7.826,21.793,525.91,22.094,131.127,37.221,255.019,980.446,95.202,25.524,42.957,45.313,25.484,44.74,68.357,0,6714.665,0.395,491.513,1751.633,0,0,32.821,1086.568,0,15657.472
"TTL_INT_FNL",241.789,21.803,45.527,0,0,0,0,287.523,7683.935,1259.867,580.746,881.359,531.892,1422.507,383.888,647.126,812.885,603.077,317.449,1111.369,8099.638,2054.831,1832.502,1922.597,337.213,600.344,312.249,4827.724,4693.162,13285.977,105781.799,7007.603,19030.435,15121.411,502.457,3372.789,18400.833,3472.43,16902.362,3974.873,20050.217,15813.843,5767.074,1365.16,2173.622,5431.608,2472.114,2870.847,4211.226,0,222243.788,13369.41,51576.719,56445.162,-663.967,4210.39,2525.835,105160.674,-94246.078,669143.617
"VALU",209.131,25.032,41.47,0,0,0,0,43.364,4378.242,674.055,579.659,325.211,91.387,376.339,370.491,23.58,154.161,52.825,29.809,161.157,122.654,230.628,127.971,104.258,23.927,42.447,497.384,3316.515,2853.661,13988.454,70589.152,5775.77,2064.145,8422.012,529.271,979.134,11100.637,1086.709,11207.047,3670.089,64902.917,49497.137,6000.498,6335.765,19697.111,27782.422,14274.324,2246.911,4985.96,4190.305,0,0,0,0,0,0,0,0,0,344181.127
"LABR",43.387,2.965,5.132,0,0,0,0,10.593,1373.32,538.992,166.291,103.386,6.802,90.064,96.237,9.066,58.097,16.005,10.299,61.532,34.141,94.159,50.925,39.136,10.635,12.726,196.662,139.34,426.846,6965.716,11235.091,940.946,478.913,1462.475,153.86,830.67,3413.561,269.88,1264.11,1255.513,13907.517,1455.197,3148.751,1838.9,8549.306,17938.591,6705.847,1280.84,1300.003,4190.305,0,0,0,0,0,0,0,0,0,92182.729
"OTXS",-409.599,0,0,0,0,0,0,0,3.245,0.619,0,0.097,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,91.761,0,0,8.449,1.595,14.513,0.753,2.809,41.891,0,0,0,439.047,13.529,1.458,0,0,134.661,5.438,3.212,6.285,0,0,0,0,0,0,0,0,0,0,359.839
"CFC",27.765,3.069,8.547,0,0,0,0,3.928,722.599,107.898,90.552,54.877,14.578,73.634,64.422,4.549,29.661,8.831,4.345,21.692,27.883,29.655,17.656,24.899,0.893,8.233,54.688,1009.856,782.218,1156.358,6581.946,1097.071,581.333,0,117.669,64.888,959.102,200.349,4376.122,540.602,5178.963,18576.579,675.244,880.111,4926.322,3132.359,1017.786,380.06,335.997,0,0,0,0,0,0,0,0,0,0,53975.79
"NOPS",547.579,18.998,27.79,0,0,0,0,28.842,2279.079,26.546,322.816,166.851,70.007,212.641,209.831,9.965,66.403,27.99,15.165,77.934,60.552,106.814,59.39,40.223,12.398,21.488,246.034,2167.319,1552.835,5866.38,52772.115,3729.305,1002.304,6945.024,256.989,80.768,6686.083,616.48,5566.815,1873.974,45377.39,29451.832,2175.044,3616.753,6221.482,6576.811,6545.254,582.8,3343.675,0,0,0,0,0,0,0,0,0,0,197662.769
"OUTPUT",450.92,46.834,86.998,0,0,0,0,330.887,12062.178,1933.922,1160.404,1206.57,623.279,1798.846,754.379,670.706,967.046,655.903,347.258,1272.526,8222.292,2285.459,1960.473,2026.855,361.139,642.791,809.634,8144.239,7546.823,27274.431,176370.951,12783.373,21094.58,23543.423,1031.728,4351.924,29501.47,4559.139,28109.409,7644.962,84953.134,65310.981,11767.571,7700.925,21870.733,33214.03,16746.439,5117.759,9197.187,4190.305,0,0,0,0,0,0,0,0,0,652702.81
