"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_G",9.247,0.463,1.854,19.026,124.152,7.639,19.088,13.347,4.565,3.53,0.168,0.84,253.758,1.629,1.795,1.882,0.896,0.116,0.033,0.903,1.072,1.009,1.15,0,1.521,1.724,0.546,2.317,1.832,46.615,32.762,0.3,5.97,3.243,1.95,0.404,10.897,0.787,12.175,1.169,16.578,3.336,9.585,5.77,54.817,6.707,8.074,0.901,1.054,0,458.773,0.112,26.586,349.39,5.851,4.587,0.083,284.522,-576.052,1253.044
"TTL_H49",1.514,0.26,0.176,13.154,126.733,2.481,7.878,7.714,0.823,0.801,0.111,0.276,80.095,0.306,0.466,0.487,0.181,0.022,0.005,0.352,0.436,0.382,0.458,0,0.497,0.525,0.165,0.554,0.797,9.079,32.539,0.16,0.56,0.168,3.404,1.037,1.683,0.386,5.709,0.458,12.941,1.236,6.135,3.889,26.146,5.588,2.984,0.374,0.495,0,34.626,0.003,2.08,99.047,0.5,0.713,0.846,2.421,-350.813,152.041
"TTL_H50",0.443,0.171,0.263,4.146,69.76,2.151,5.391,2.377,0.277,0.273,0.035,0.083,42.763,0.155,0.111,0.152,0.191,0.038,0.015,0.155,0.139,0.175,0.158,0,0.189,0.131,0.052,0.446,0.147,7.399,17.793,0.041,28.419,0.197,4.161,0.1,0.701,0.092,1.488,0.159,2.135,0.291,2.742,4.893,8.258,0.683,0.474,0.135,0.093,0,31.868,0.011,0.951,21.469,0.388,1.387,0.523,43.191,-42.474,267.956
"TTL_H51",0.293,0.042,0.087,0.25,5.65,0.091,0.173,0.247,0.171,0.084,0.018,0.033,4.876,0.03,0.041,0.044,0.006,0.001,0,0.018,0.026,0.03,0.029,0,0.033,0.031,0.014,0.026,0.04,0.703,1.094,0.006,0.134,0.213,0.178,0.046,0.429,0.041,0.577,0.077,2.142,0.131,0.522,1.883,2.803,0.305,0.235,0.042,0.044,0,37.587,0.001,0.339,7.295,0.04,4.131,0.548,40.548,-21.1,93.377
"TTL_H52",0.227,0.027,0.061,2.14,15.959,0.681,1.419,1.302,0.136,0.111,0.012,0.039,16.14,0.056,0.072,0.066,0.055,0.009,0.003,0.054,0.065,0.06,0.068,0,0.078,0.078,0.025,0.151,0.119,2.422,7.045,0.032,1.138,0.445,1.654,0.117,0.305,0.054,1.328,0.093,1.531,0.221,0.851,0.709,3.988,0.484,0.302,0.06,0.063,0,38.244,0.007,2.502,21.809,0.19,0.242,0.005,53.43,-45.997,132.489
"TTL_H53",0.017,0.002,0.002,0.101,1.027,0.02,0.06,0.071,0.009,0.009,0.001,0.003,0.206,0.002,0.006,0.004,0.001,0,0,0.002,0.004,0.003,0.004,0,0.004,0.002,0.002,0.003,0.012,0.084,0.52,0.001,0.006,0.002,0.038,0.126,0.024,0.014,0.534,0.021,1.449,0.047,0.186,0.074,1.025,0.109,0.065,0.012,0.018,0,4.06,0,3.408,0.529,0.03,0.129,0.017,4.681,-2.612,16.176
"TTL_I",0.288,0.036,0.117,0.77,12.572,0.592,0.561,1.023,0.178,0.199,0.013,0.053,6.682,0.06,0.106,0.089,0.018,0.002,0,0.048,0.094,0.076,0.077,0,0.079,0.05,0.032,0.07,0.248,2.781,6.377,0.023,0.511,0.32,0.361,0.067,0.915,0.42,4.326,0.783,13.881,1.08,6.213,3.924,22.896,4.216,3.401,0.609,0.452,0,149.27,0.35,1.355,18.841,0,34.617,3.937,13.595,-35.545,284.113
"TTL_J58T60",0.011,0.001,0.001,0.072,1.496,0.032,0.042,0.122,0.008,0.02,0.001,0.024,0.258,0.005,0.015,0.008,0.001,0,0,0.005,0.016,0.011,0.009,0,0.013,0.018,0.004,0.005,0.023,0.223,0.608,0.001,0.026,0.012,0.021,0.008,0.044,0.425,1.637,0.195,1.725,0.141,1.53,0.227,1.966,1.091,0.176,0.085,0.069,0,10.361,0.023,6.543,19.747,0.02,0.472,0.014,0.231,-19.214,30.628
"TTL_J61",0.023,0.003,0.005,0.239,4.222,0.034,0.091,0.183,0.013,0.035,0.002,0.016,0.327,0.004,0.027,0.011,0.002,0,0,0.008,0.032,0.016,0.022,0,0.018,0.014,0.008,0.01,0.051,0.526,1.702,0.002,0.039,0.014,0.082,0.034,0.131,0.331,43.269,0.484,7.248,0.649,1.551,0.699,7.544,0.635,0.476,0.119,0.117,0,85.582,0.001,3.166,320.25,0,1.765,0.301,31.349,-8.501,504.982
"TTL_J62_63",0.021,0.002,0.006,0.21,2.159,0.083,0.148,0.182,0.013,0.02,0.001,0.01,1.06,0.01,0.021,0.014,0.006,0.001,0,0.009,0.02,0.013,0.013,0,0.019,0.028,0.005,0.015,0.026,0.397,0.905,0.003,0.134,0.056,0.169,0.012,0.044,0.054,1.128,0.314,1.418,0.096,0.524,0.22,1.268,0.213,0.102,0.029,0.021,0,6.608,0.003,0.781,98.902,0.08,0.14,0.003,6.743,-60.036,64.443
"TTL_K",0.578,0.054,0.079,2.61,80.799,1.098,1.297,5.665,0.211,0.506,0.028,0.199,11.262,0.107,0.343,0.233,0.049,0.005,0.002,0.136,0.379,0.272,0.283,0,0.335,0.188,0.11,0.261,0.914,7.496,17.345,0.037,0.724,0.293,0.931,0.153,0.859,0.657,17.449,1.39,189.245,46.175,11.946,4.706,34.414,3.533,1.971,0.721,0.731,0,979.528,0.094,1.806,2.85,0.01,1.697,0.218,32.157,-31.282,1435.857
"TTL_L",0.095,0.015,0.05,0.919,21.991,0.274,0.594,1.141,0.099,0.37,0.011,0.127,6.155,0.031,0.126,0.082,0.017,0.004,0.001,0.075,0.17,0.099,0.104,0,0.233,0.069,0.069,0.072,0.755,4.439,20.292,0.014,0.225,0.075,1.007,0.157,2.534,0.928,21.047,2.067,34.465,12.298,10.834,3.263,27.129,5.594,3.355,0.978,0.768,0,293.306,1.191,0.572,12.354,0.02,7.364,1.085,2.783,-55.192,448.701
"TTL_M",0.114,0.006,0.007,0.751,17.517,0.287,0.431,2.295,0.104,0.139,0.005,0.048,1.828,0.033,0.205,0.056,0.011,0.001,0,0.034,0.157,0.089,0.083,0,0.12,0.081,0.031,0.053,0.231,4.488,5.85,0.004,0.087,0.046,0.19,0.025,0.287,0.644,9.294,0.923,15.524,2.169,15.637,1.714,13.921,1.735,0.722,0.337,0.223,0,73.964,0.061,11.375,369.438,0.06,0.787,0.089,47.422,-139.674,462.064
"TTL_N",0.756,0.038,0.029,3.71,69.336,0.902,2.042,4.238,0.434,0.329,0.015,0.136,3.27,0.059,0.294,0.133,0.031,0.002,0.001,0.078,0.239,0.149,0.178,0,0.331,0.213,0.066,0.143,0.709,6.197,10.773,0.025,1.763,0.783,1.116,0.165,1.297,1.2,22.269,2.126,35.994,4.957,10.432,59.396,36.455,7.784,2.571,1.013,0.492,0,71.694,0.041,3.995,33.841,0.02,1.387,0.149,19.861,-151.077,274.581
"TTL_O",0.037,0.007,0.004,0.228,1.942,0.084,0.107,0.273,0.027,0.034,0.004,0.015,0.489,0.006,0.03,0.013,0.003,0.001,0,0.012,0.015,0.015,0.017,0,0.025,0.013,0.007,0.02,0.105,0.806,0.964,0.004,0.034,0.01,0.071,0.015,0.078,0.055,1.624,0.081,2.355,0.605,0.933,0.212,8.216,0.448,0.22,0.079,0.048,0,17.17,6.299,2560.728,0.586,0,0.249,0.001,0.015,-3.181,2602.253
"TTL_P",0.004,0.001,0.001,0.03,0.659,0.012,0.029,0.041,0.003,0.004,0,0.002,0.136,0.001,0.007,0.002,0.001,0,0,0.002,0.006,0.004,0.004,0,0.006,0.004,0.001,0.002,0.014,0.071,0.187,0.001,0.011,0.005,0.018,0.003,0.01,0.013,0.605,0.064,0.985,0.054,0.235,0.097,2.063,1.421,0.095,0.017,0.015,0,69.246,1.071,395.153,1.385,0,6.254,0.292,0.101,-7.703,472.747
"TTL_Q",0.005,0.001,0.001,0.068,0.372,0.01,0.006,0.024,0.003,0.005,0,0.002,0.071,0.001,0.007,0.004,0.001,0,0,0.003,0.005,0.003,0.003,0,0.006,0.003,0.001,0.001,0.012,0.08,0.165,0,0.003,0.002,0.007,0.002,0.018,0.012,0.137,0.021,0.469,0.032,0.144,0.056,3.756,0.227,5.136,0.013,0.032,0,116.064,5.076,183.855,0.373,0,1.583,0.198,0.024,-2.13,315.972
"TTL_R",0.003,0,0,0.016,0.283,0.005,0.01,0.019,0.002,0.003,0,0.002,0.049,0.001,0.002,0.001,0,0,0,0.001,0.002,0.001,0.001,0,0.003,0.002,0.001,0.001,0.008,0.041,0.108,0,0.006,0.002,0.006,0.001,0.014,0.063,0.147,0.013,0.217,0.037,0.094,0.131,0.365,0.07,0.027,0.132,0.024,0,17.604,0.391,17.586,3.182,0,3.399,0.222,0.165,-5.794,38.669
"TTL_S",0.005,0.001,0.002,0.02,0.246,0.01,0.02,0.024,0.003,0.007,0,0.001,0.156,0.001,0.003,0.002,0.001,0,0,0.002,0.003,0.002,0.002,0,0.004,0.004,0.001,0.002,0.008,0.074,0.132,0,0.009,0.003,0.011,0.001,0.03,0.02,0.135,0.018,0.613,0.054,0.176,0.068,0.411,0.081,0.123,0.022,0.108,0,31.514,4.056,8.157,0.853,0,1.821,0.258,0.307,-2.431,47.156
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.586,0,0,0,0,0,0,0,0,21.586
"IMP_OTHER",-0.069,0.012,0.041,1.32,16.89,0.355,0.632,0.924,-0.067,0.151,0.005,0.034,87.151,0.1,0.043,0.074,0.02,0.004,0.001,0.034,0.039,0.052,0.044,0,0.064,0.095,0.024,0.326,0.111,1.422,1.707,0.024,0.502,0.276,0.162,0.034,0.062,0.04,0.613,0.056,1.005,0.14,0.527,0.322,3.412,0.336,0.228,0.039,0.052,0,10.678,-0.001,0.297,19.617,0.821,6.201,0,0,0,156.98
"TXS_INT_FNL",-1.507,-0.164,-0.527,-2.39,-23.034,-1.076,-1.724,-2.559,-0.787,-0.18,-0.058,-0.033,-39.407,-0.201,-0.121,-0.053,-0.036,-0.006,-0.001,-0.032,-0.032,-0.058,-0.041,0,-0.053,-0.026,-0.041,-0.211,-0.404,-3.626,-6.014,-0.09,-1.939,-1.047,-0.568,-0.12,-2.048,-0.129,-2.312,-0.209,-4.062,-0.62,-1.59,-1.063,-13.066,-1.328,-1.161,-0.169,-0.193,0,-26.303,-0.118,-11.577,-0.083,-0.021,0,-0.037,-102.962,0,-257.217
"TTL_INT_FNL",90.622,10.747,34.075,725.414,3666.912,545.304,685.051,435.724,46.374,30.806,4.175,8.214,9353.245,28.387,13.725,15.812,31.625,8.888,4.013,15.193,10.713,14.265,13.887,0,17.023,16.178,6.322,100.939,36.508,1210.121,502.582,5.92,154.68,68.598,47.612,8.832,127.946,14.193,278.304,22.489,561.637,120.26,192.743,158.126,1105.678,124.067,93.819,15.445,17.723,0,4259.782,18.897,3357.496,4824.964,83.754,86.607,9.973,13165.138,-8779.105,37828.419
"VALU",56.493,14.059,76.478,698.659,4625.868,1112.828,794.018,663.745,20.387,28.676,2.366,7.057,3168.102,13.969,11.51,7.567,15.133,2.885,1.905,12.167,4.455,7.642,8.1,0,8.649,8.434,5.876,124.157,36.291,292.09,750.462,146.121,113.276,24.78,84.877,7.344,156.167,16.435,226.678,41.954,874.22,328.408,269.321,116.456,1496.573,348.68,222.153,23.225,29.433,21.586,0,0,0,0,0,0,0,0,0,17127.715
"LABR",19.831,13.062,38.452,71.928,110.998,131.494,350.049,157.969,13.657,17.182,2.108,4.912,203.61,1.329,1.208,1.366,2.536,0.366,0.285,2.189,1.262,4.11,1.537,0,2.109,1.054,5.069,100.067,28.086,279.468,260.645,54.743,44.818,10.208,22.028,5.896,111.978,3.727,33.489,11.034,175.584,8.357,159.589,35.423,1173.303,335.468,170.739,13.966,17.267,21.347,0,0,0,0,0,0,0,0,0,4236.899
"OTXS",0.721,0.257,0.98,8.454,56.605,13.728,8.859,7.323,0.226,0.316,0.026,0.078,37.656,0.193,0.158,0.12,0.239,0.041,0.028,0.191,0.049,0.085,0.131,0,0.15,0.125,0.065,1.528,0.4,4.273,8.28,1.612,1.25,0.273,0.939,0.082,2.056,0.181,2.501,0.463,9.645,3.797,3.001,1.484,16.511,4.028,2.451,0.262,0.343,0.238,0,0,0,0,0,0,0,0,0,202.402
"CFC",4.441,0.064,3.922,190.732,841.468,176.646,174.117,32.976,2.471,11.177,0.231,2.067,284.749,1.568,1.135,0.841,1.673,0.273,0.155,9.489,0.037,0.878,0.624,0,0.17,0.939,0.742,22.561,7.805,8.349,39.107,17.129,67.209,0,11.407,0.076,8.577,0.757,59.244,22.11,37.867,78.473,18.309,9.277,306.759,30.727,10.076,2.595,0.231,0,0,0,0,0,0,0,0,0,0,2502.23
"NOPS",31.501,0.676,33.125,427.545,3616.798,790.961,260.993,465.477,4.033,0,0,0,2642.088,10.879,9.01,5.241,10.685,2.206,1.436,0.297,3.107,2.57,5.809,0,6.219,6.317,0,0,0,0,442.43,72.637,0,14.298,50.502,1.29,33.556,11.77,131.444,8.347,651.125,237.781,88.423,70.271,0,-21.543,38.887,6.402,11.592,0,0,0,0,0,0,0,0,0,0,10186.184
"OUTPUT",147.115,24.805,110.553,1424.073,8292.78,1658.133,1479.069,1099.469,66.761,59.482,6.54,15.271,12521.347,42.355,25.236,23.379,46.758,11.773,5.918,27.36,15.168,21.907,21.987,0,25.673,24.612,12.198,225.096,72.799,1502.211,1253.044,152.041,267.956,93.377,132.489,16.176,284.113,30.628,504.982,64.444,1435.857,448.668,462.064,274.582,2602.252,472.746,315.972,38.669,47.156,21.586,0,0,0,0,0,0,0,0,0,37928.628
