"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_L",14.149,0.016,0.437,0.103,12.601,0.125,0.628,0.642,69.627,43.97,3.377,8.994,16.51,8.663,11.22,6.893,4.79,2.541,2.196,6.36,3.879,9.902,1.935,3.383,0.298,0.139,17.802,26.989,1.701,54.749,193.564,15.945,3.583,3.144,36.548,1.705,203.293,14.089,44.297,7.742,32.135,67.631,29.112,15.442,23.534,32.709,89.418,17.108,33.046,0,26582.084,71.153,49.09,713.903,0.2,213.094,469.576,60.257,-273.185,29084.837
"TTL_M",308.116,0.085,4.852,1.646,169.418,2.381,7.057,23.689,1048.038,290.973,25.846,86.705,132.386,170.268,338.813,110.356,56.46,33.326,18.738,50.013,70.25,131.769,25.148,86.004,2.986,2.772,127.713,432.762,24.616,695.871,635.411,70.121,22.922,28.857,128.821,4.34,433.803,155.436,352.115,63.446,267.676,173.399,592.358,126.74,239.852,151.57,459.09,83.197,162.648,0,1980.023,49.738,182.852,2789.172,4.57,22.835,47.442,812.068,-4465.452,10054.107
"TTL_N",46.483,0.032,1.145,0.296,40.407,0.516,1.801,2.336,89.798,30.628,4.119,10.561,16.974,16.034,20.241,9.229,8.916,3.945,2.563,6.405,4.546,13.399,3.143,5.293,0.262,0.259,14.413,52.768,5.611,78.452,63.773,25.589,17.551,17.814,34.247,1.664,62.839,16.649,42.01,7.316,25.42,26.103,26.021,84.451,32.62,35.068,69.919,15.616,19.521,0,3502.72,8.625,92.598,56.358,1.289,40.553,129.711,1803.136,-307.934,6441.82
"TTL_O",26.715,0.018,0.353,0.056,3.876,0.09,0.264,0.462,53.33,13.347,2.04,3.509,5.729,5.869,7.48,3.579,2.436,2.261,1.912,2.963,1.921,4.466,0.991,2.145,0.097,0.083,5.07,23.035,1.68,24.582,20.981,8.605,2.752,1.499,6.855,0.298,17.587,3.175,10.351,1.84,8.778,7.231,10.282,3.19,15.819,6.488,17.311,3.36,6.172,0,4123.38,1.411,13666.036,61.726,0.56,8.016,3.757,41.096,-72.41,18186.503
"TTL_P",5.91,0.003,0.154,0.021,1.934,0.03,0.11,0.193,13.016,3.646,0.49,1.319,3.168,2.282,3.911,1.469,0.891,1,0.588,1.028,0.715,2.335,0.444,0.991,0.049,0.046,1.828,6.092,0.482,5.976,5.502,2.051,2.235,1.098,2.72,0.145,3.921,1.579,7.848,3.8,4.731,1.212,4.736,1.725,8.373,24.477,12.213,1.362,2.533,0,6149.976,919.243,8308.574,96.377,0.12,181.569,158.201,32.358,-243.592,15755.212
"TTL_Q",4.204,0.001,0.096,0.011,0.45,0.011,0.026,0.034,9.124,2.148,0.244,0.511,1.483,1.177,0.97,0.665,0.582,0.769,0.341,0.782,0.204,0.817,0.226,0.324,0.018,0.011,0.882,1.312,0.119,3.263,1.351,1.038,0.278,0.387,0.559,0.032,2.254,0.228,0.429,0.144,0.413,0.234,0.496,0.335,1.332,1.126,106.595,0.305,0.743,0,7729.326,573.255,6055.381,13.113,0.71,45.843,110.304,9.141,-61.218,14624.94
"TTL_R",2.156,0.002,0.097,0.006,0.38,0.006,0.029,0.044,10.026,3.179,0.264,0.764,1.011,1.267,1.176,0.795,0.482,0.479,0.298,0.739,0.329,0.934,0.234,0.369,0.033,0.018,1.975,2.024,0.341,3.504,5.677,1.049,0.454,0.334,0.973,0.068,9.214,6.382,2.744,0.416,1.654,1.242,4.327,3.078,3.797,5.314,3.341,48.164,24.629,0,2107.671,892.091,194.697,7.501,0.26,98.469,228.045,139.504,-150.597,3673.457
"TTL_S",16.914,0.014,2.725,0.096,8.306,0.168,0.621,0.766,55.22,27.405,2.534,3.992,7.154,6.283,5.527,3.568,5.272,3.464,1.628,3.916,2.607,4.321,0.905,1.697,0.106,0.075,11.904,12.946,3.139,19.355,37.152,9.219,3.791,2.612,10.609,0.599,129.911,9.674,19.386,3.497,23.488,9.732,16.807,13.411,19.018,21.013,218.1,13.276,134.273,0,4021.231,1759.877,3.214,101.12,17.235,52.708,143.61,27.377,-66.003,6968.563
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.941,0,0,0,0,0,0,0,0,284.941
"IMP_OTHER",-8.316,0.005,0.571,0.045,2.773,0.069,0.206,0.196,-39.512,18.721,1.969,3.292,19.875,8.969,3.028,6.394,2.128,5.624,1.569,4.963,1.745,5.97,1.94,3.907,0.114,0.084,5.908,12.845,0.475,18.262,5.148,7.748,3.986,3.49,2.937,0.14,0.236,0.689,1.71,0.487,1.09,0.995,1.59,1.388,1.527,1.111,4.783,0.478,1.337,0,141.095,0.091,0.419,91.434,30.907,184.513,0,0,0,573.15
"TXS_INT_FNL",154.536,0.113,12.351,0.722,36.236,1.399,4.291,3.665,85.943,-33.739,34.428,25.901,-23.476,-18.198,4.618,54.164,85.213,51.946,43.622,18.739,10.094,50.854,13.839,22.887,1.121,0.611,84.888,-2.769,6.599,381.699,58.223,159.103,-3.392,-6.568,34.429,2.049,91.852,4.376,12.344,1.688,6.762,13.36,10.508,14.148,21.981,14.162,19.202,6.551,18.692,0,15013.976,0.335,632.209,1930.555,629.895,0,204.91,109.553,0,20113.199
"TTL_INT_FNL",12997.801,4.453,328.774,29.746,3051.488,58.115,247.75,214.54,26307.046,6960.743,1134.167,2106.919,22289.575,4838.383,1851.603,2158.757,3225.239,4944.266,4289.054,3971.234,798.281,4059.502,990.79,1532.901,66.95,52.983,3403.387,11176.503,392.66,15443.038,4729.058,4175.545,3641.176,1929.264,3782.754,114.353,4769.123,759.17,1826.352,300.139,1319.276,2110.288,1445.592,1105.74,1369.095,1143.234,3741.373,506.81,1205.765,0,330796.155,4391.687,29752.549,63604.808,6123.101,2681.24,8052.026,52312.199,-87831.434,588783.087
"VALU",38214.677,5.513,4202.155,307.415,39001.899,742.78,2835,1027.427,10232.053,4439.923,1693.98,2783.673,10775.521,6043.449,1892.565,1295.576,4489.092,2516.937,2675.094,2896.304,381.082,1989.995,533.265,755.119,36.054,112.269,4271.981,5728.536,1927.597,22439.668,47007.033,12351.84,9500.12,2729.218,12840.307,590.087,7859.953,1998.615,7291.538,1588.493,16745.764,26972.166,8608.517,5336.081,16817.414,14611.982,10883.571,3166.648,5762.8,284.941,0,0,0,0,0,0,0,0,0,389193.691
"LABR",7602.63,1.88,1074.027,114.112,933.713,61.394,72.728,323.7,3074.715,1775.535,308.952,660.524,901.744,1109.26,662.169,208.649,1210.551,1427.089,1636.15,556.49,73.604,440.553,165.608,259.708,26.448,60.225,655.602,1985.232,1149.219,8235.569,6384.554,4482.053,372.931,492.962,1380.239,52.888,2337.3,253.38,2785.785,125.136,1478.783,537.556,950.977,832.796,13885.642,16803.955,1245.036,221.114,612.827,284.941,0,0,0,0,0,0,0,0,0,92288.633
"OTXS",129.966,0,0,0,6244.643,138.065,981.961,0,0,0,0,27.094,453.624,73.354,13.78,14.012,152.428,0.92,10.997,0,0,51.649,0,32.425,0.591,5.393,0,422.956,0,271.213,196.537,0,2932.458,75.79,39.408,378.963,55.849,0,0,1.638,983.647,1289.139,12.078,5.344,316.316,-16676.696,7.047,1377.527,0,0,0,0,0,0,0,0,0,0,0,20.113
"CFC",1136.061,0.161,213.281,54.319,3188.147,52.762,291.702,19.776,394.784,153.885,58.929,108.108,382.543,277.934,80.39,57.349,209.158,120.27,110.771,84.457,21.094,55.703,16.523,49.969,0.294,6.99,98.389,612.295,255.269,391.192,908.999,594.879,792.502,0,668.483,8.884,142.877,83.552,1183.258,50.263,273.187,2855.169,200.173,160.941,2615.455,330.62,155.606,138.478,78.055,0,0,0,0,0,0,0,0,0,0,19743.885
"NOPS",29346.02,3.472,2914.847,138.984,28635.395,490.559,1488.609,683.951,6762.555,2510.504,1326.099,1987.947,9037.611,4582.901,1136.227,1015.566,2916.956,968.659,917.177,2255.358,286.384,1442.091,351.133,413.018,8.721,39.662,3517.99,2708.053,523.108,13541.694,39516.943,7274.908,5402.229,2160.466,10752.176,149.354,5323.928,1661.683,3322.496,1411.456,14010.147,22290.301,7445.29,4337.001,0,14154.103,9475.882,1429.529,5071.917,0,0,0,0,0,0,0,0,0,0,277141.059
"OUTPUT",51212.478,9.966,4530.929,337.161,42053.387,800.894,3082.749,1241.967,36539.099,11400.667,2828.148,4890.592,33065.096,10881.832,3744.168,3454.334,7714.332,7461.203,6964.149,6867.538,1179.363,6049.497,1524.055,2288.02,103.004,165.252,7675.368,16905.039,2320.256,37882.706,51736.092,16527.384,13141.296,4658.482,16623.062,704.441,12629.077,2757.785,9117.89,1888.632,18065.039,29082.454,10054.11,6441.821,18186.509,15755.216,14624.944,3673.457,6968.565,284.941,0,0,0,0,0,0,0,0,0,568094.447
