"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_H51",126.117,16.246,16.914,0.46,6.591,0.781,45.446,10.459,524.451,75.91,86.625,204.535,416.466,456.172,149.828,230.518,97.472,130.358,96.391,101.717,296.818,329.759,512.026,555.26,20.564,29.209,671.085,368.623,189.338,990.902,2888.606,89.472,47.255,90.483,67.202,240.331,289.238,610.993,281.438,629.164,282.846,63.388,718.755,548.448,312.629,386.514,542.947,117.569,193.96,0,4022.438,0.238,34.417,1543.217,4.385,147.699,60.621,3559.738,-4680.484,19850.547
"TTL_H52",648.498,26.283,95.065,0.757,8.879,6.172,88.704,31.741,3040.252,163.927,207.5,848.398,2168.579,1156.884,357.023,673.84,522.504,2209.104,949.476,650.384,689.522,970.799,1472.928,1917.595,117.849,148.696,2006.906,3907.266,268.519,3557.866,7323.516,3644.689,1143.42,6127.764,808.764,130.398,1960.695,427.907,282.598,619.356,504.983,209.316,698.066,561.738,1553.555,288.76,1139.438,349.037,386.567,0,15767.56,0.235,3833.582,2310.791,11.839,12.885,7.621,7053.989,-4254.653,81816.335
"TTL_H53",15.218,0.801,2.988,0.334,3.409,0.219,13.396,2.579,40.15,14.764,6.9,27.122,17.797,125.006,33.819,33.212,18.37,19.52,20.921,21.112,56.853,89.864,122.138,130.914,7.525,18.879,83.978,326.363,85.94,226.76,1189.644,64.529,12.841,7.127,103.385,318.797,227.443,227.087,1693.01,168.855,2323.464,149.379,393.874,165.995,1485.382,244.451,298.563,52.464,180.293,0,954.663,0.019,0.518,19.743,5.519,5.092,11.626,574.606,-375.42,12069.797
"TTL_I",87.734,27.056,132.626,1.674,22.342,7.917,182.853,9.467,1091.487,155.152,91.464,690.373,351.567,983.142,163.118,805.639,301.248,423.197,506.45,552.376,826.147,808.088,1356.459,1053.647,144.502,129.837,1383.063,980.192,864.777,3012.975,8436.678,1276.087,325.267,133.665,905.738,177.004,3576.581,962.194,467.468,1551.197,3362.191,1132.141,2058.843,1498.277,1462.482,717.813,2273.92,580.31,1345.613,0,120823.577,0.295,3.022,43.652,0.24,1235.999,3938.527,39.995,-1438.235,174037.105
"TTL_J58T60",40.863,2.999,5.992,0.052,0.646,0.384,6.076,1.362,246.961,27.68,15.735,65.169,24.112,192.898,86.118,66.901,24.792,62.3,37.22,45.34,109.133,120.696,173.216,174.753,10.204,24.143,193.659,67.648,67.901,375.696,898.127,160.839,9.301,14.007,66.603,29.151,702.514,3481.344,2040.586,616.235,468.645,150.159,15348.239,301.473,445.885,187.042,582.058,320.22,193.634,0,19052.88,0.73,104.158,36115.985,24.34,16.82,55.101,8660.618,-14885.297,77432.045
"TTL_J61",48.701,5.534,35.009,2.068,24.333,1.14,46.921,7.894,327.696,67.827,34.386,235.054,78.242,380.675,510.093,174.817,87.527,150.891,130.421,190.914,383.598,427.238,594.151,576.478,44.057,46.805,552.727,153.821,327.065,2287.538,16375.129,817.868,103.175,34.521,269.729,93.706,1365.24,2655.813,47494.437,3017.504,5222.609,1344.521,8439.312,2605.444,2958.377,312.633,991.878,282.079,872.271,0,85834.146,0.069,438.834,113.71,5.379,63.078,21.858,1281.07,-2170.074,188777.938
"TTL_J62_63",451.298,2.391,28.344,0.785,10.842,0.662,79.303,12.495,1463.033,189.04,138.472,618.032,239.654,1455.19,1005.469,921.411,444.278,538.626,636.523,572.192,2186.82,2575.486,3010.011,2208.172,126.743,223.067,1618.852,4843.034,2192.474,2293.268,24670.273,966.937,49.699,123.729,2036.585,98.019,1842.114,2288.416,12857.312,7968.937,21430.243,1389.578,6613.673,4643.016,8216.712,1377.958,3359.22,1455.072,2004.872,0,18137.715,1.533,29.89,74348.423,6.339,5.054,0.277,9742.99,-46256.581,189493.972
"TTL_K",1129.728,120.608,176.41,2.801,45.99,28.318,303.032,71.199,1846.08,427.688,220.11,709.027,1394.639,1276.089,288.172,460.19,465.092,890.426,824.856,868.779,814.089,881.44,1589.064,1500.713,253.286,304.493,3722.956,4375.393,882.208,4640.629,14346.527,4121.27,504.957,291.577,727.879,16.849,1992.686,422.703,1764.606,815.708,14124.783,57091.483,1576.258,3577.337,3959.931,1078.703,2603.787,946.211,694.069,0,142584.02,220.67,2574.797,1003.458,0.2,60.631,7.265,24663.262,-22293.313,289991.817
"TTL_L",72.737,10.39,11.369,2.643,37.046,3.53,24.291,16.313,709.726,137.512,72.895,304.862,289.284,463.089,232.639,399.867,181.145,223.388,164.678,391.672,368.727,537.833,800.216,623.713,55.099,66.39,595.707,1570.321,249.496,2113.474,28790.839,1434.881,501.951,53.905,3686.198,249.395,2654.02,1239.626,4350.217,6511.108,5305.619,20345.071,2512.693,2229.2,602.534,446.729,5557.764,555.474,1838.592,0,457447.769,0.203,3.787,15126.503,0.17,263.212,1.958,1529.23,-1942.913,572025.787
"TTL_M",123.477,17.739,43.205,2.249,29.822,4.138,75.279,133.26,5237.276,341.344,147.955,794.509,255.443,3204.176,2309.158,1475.584,713.665,319.528,440.156,819.445,3015.157,2016.88,2730.767,4184.022,120.212,508.27,2989.807,3964.857,2074.59,17958.85,28086.437,2026.966,30.273,193.639,3217.996,55.974,4586.274,3668.807,11384.88,15424.289,15651.372,8845.163,27750.554,6590.583,7978.901,1879.963,4860.801,1350.663,2105.677,0,9244.569,789.853,13757.671,107555.367,55.116,28.164,0.902,27313.159,-42132.097,318352.735
