"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_C24A",2.253,1.101,0.117,0.135,1.492,1.721,0.106,0.187,3.086,1.051,2.174,0.345,2.734,0.955,0.137,7.145,5.402,77.568,65.859,309.849,0,0.203,21.03,12.015,1.734,3.401,12.616,1.271,1.222,119.625,4.981,1.571,0.183,0.527,1.196,0.012,0.058,0.046,0.041,0.109,0.078,0.772,0.388,0.29,0.938,0.18,0.117,0.029,0.543,0,3.428,0.001,0.335,3.862,0.064,0.011,0.003,11.802,-406.685,281.417
"TTL_C24B",0.895,0.177,0.015,0.005,0.057,0.127,0.015,0.011,1.746,0.537,0.368,0.161,0.37,1.442,0.148,1.539,0.417,1.785,187.233,20.871,0,0.078,1.352,0.987,0.079,0.25,2.923,0.148,0.156,5.381,0.858,0.133,0.014,0.029,0.096,0.002,0.042,0.026,0.018,0.045,0.035,0.09,0.066,0.061,0.29,0.068,0.17,0.01,0.126,0,19.528,0.005,0.141,19.841,0.14,0.016,0.019,1862.881,-70.411,2063.612
"TTL_C25",20.297,10.341,0.648,0.553,2.684,5.064,0.675,1.099,75.299,8.843,20.475,2.131,6.775,9.271,1.791,18.865,9.541,10.654,71.967,333.766,0,0.343,33.118,19.13,3.288,4.51,37.965,2.835,1.214,304.951,26.593,3.529,0.361,0.357,3.695,0.04,1.434,0.449,0.724,1.337,0.319,5.631,2.067,3.539,23.205,1.314,1.069,0.156,3.271,0,188.236,0.001,0.822,848.059,24.666,0.102,0.001,23.222,-347.691,1834.602
"TTL_C26",0.516,0.228,0.034,0.007,0.058,0.085,0.019,0.017,1.124,0.359,0.15,0.126,0.506,0.428,0.14,0.456,0.171,0.079,0.744,1.084,0,0.027,0.58,0.322,0.061,0.074,1.06,0.358,0.113,2.44,3.315,0.458,0.054,0.292,0.51,0.036,0.117,0.447,1.412,7.877,1,0.225,0.633,0.506,2.237,0.372,0.592,0.036,0.713,0,43.965,0.012,0.033,288.494,7.354,0.547,0,0.001,-372.593,0.009
"TTL_C27",0.479,0.162,0.037,0.01,0.047,0.15,0.03,0.026,0.771,0.204,0.125,0.092,0.193,0.201,0.052,0.361,0.243,0.109,1.131,1.668,0,0.108,0.941,0.881,0.052,0.132,1.622,1.058,0.061,9.479,1.947,0.404,0.04,0.098,0.2,0.006,0.092,0.078,0.402,0.484,0.055,0.129,0.203,0.213,0.883,0.098,0.154,0.023,0.402,0,66.927,0.001,0.008,269.149,7.824,0.26,0,3.063,-366.582,6.986
"TTL_C28",4.725,5.597,0.428,0.31,2.493,3.952,0.839,0.499,10.792,2.021,2.464,1.207,3.9,2.293,0.574,4.216,3.314,0.954,7.298,10.552,0,0.07,16.67,4.24,0.736,0.976,11.62,2.343,0.596,26.377,8.545,1.883,0.09,0.367,1.237,0.036,0.168,0.243,0.317,0.99,0.507,0.259,0.687,1.564,3.318,0.391,0.589,0.063,0.715,0,7.837,0.003,0.022,989.522,28.612,0.107,0.001,50.949,-856.413,374.662
"TTL_C29",0.367,0.693,0.028,0.008,0.07,0.15,0.028,0.02,0.787,0.279,0.13,0.07,0.193,0.137,0.042,0.384,0.187,0.08,0.656,0.937,0,0.008,0.499,6.18,0.026,0.084,0.633,0.146,0.043,1.819,7.422,1.794,0.045,0.184,0.32,0.008,0.036,0.04,0.053,0.191,0.081,0.061,0.095,0.237,0.422,0.062,0.073,0.009,0.076,0,272.866,0.004,0.051,563.46,16.485,0.445,0.047,14.623,-682.183,211.69
"TTL_C301",0.062,0.024,0.048,0.001,0.007,0.009,0.002,0.001,0.073,0.013,0.011,0.005,0.021,0.01,0.003,0.013,0.012,0.007,0.047,0.08,0,0,0.021,0.015,0.745,0.098,0.173,0.018,0.004,0.098,0.055,0.071,0.343,0.247,0.077,0,0.003,0.001,0.004,0.008,0.002,0.004,0.004,0.012,0.447,0.003,0.004,0.001,0.016,0,7.286,0,0,84.498,2.432,0.001,0,1.06,-72.704,25.496
"TTL_C302T309",0.117,0.05,0.012,0.001,0.008,0.014,0.004,0.003,0.139,0.028,0.02,0.01,0.058,0.026,0.007,0.029,0.023,0.013,0.082,0.118,0,0,0.026,0.029,0.01,0.151,0.109,0.032,0.008,0.15,0.134,0.131,0.013,0.173,0.048,0.001,0.006,0.006,0.01,0.066,0.014,0.011,0.012,0.022,0.136,0.008,0.011,0.001,0.011,0,8.013,0.001,0.004,57.36,1.611,0.008,0,32.06,-58.011,43.136
"TTL_C31T33",24.711,11.216,2.287,0.196,1.696,2.836,0.82,0.552,29.986,20.196,4.869,2.958,9.102,5.458,1.993,5.409,5.084,2.464,19.943,10.153,0,0.043,1.912,1.563,0.325,0.483,56.734,9.768,2.45,36.656,25.121,12.697,1.266,10.711,7.523,0.28,3.052,1.362,2.04,5.167,4.529,2.998,4.615,5.664,24.049,9.36,22.116,1.161,3.839,0,244.706,0.002,0.124,918.572,22.506,2.1,2.996,53.088,-187.453,1476.053
