"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_O",43.404,6.355,2.763,14.028,70.225,20.223,13.284,5.844,141.6,72.667,28.596,39.869,9.27,47.773,7.936,56.194,15.244,1.301,5.217,74.58,28.096,45.398,25.361,53.138,5.053,70.312,29.604,40.284,37.364,635.336,379.489,73.601,16.001,13.322,16.103,6.303,71.35,9.846,27.776,15.171,50.99,94.884,11.958,34.841,792.584,130.741,18.949,9.261,72.097,0,224.146,5.002,64452.074,371.231,0.29,1.565,0.034,11.378,-101.522,68455.784
"TTL_P",4.165,0.939,0.606,0.753,25.149,3.874,3.613,0.785,18.236,7.661,1.926,5.133,3.88,7.45,1.823,6.972,3.158,0.361,1.09,10.056,13.36,12.06,5.969,6.094,1.338,22.683,5.358,4.973,5.157,52.806,61.931,6.283,3.881,8.376,3.885,0.965,9.824,3.532,12.195,14.799,24.344,8.098,5.482,15.15,234.412,531.041,9.327,2.213,16.442,0,21171.915,5900.689,22645.719,23.237,0.11,35.553,16.765,11.212,-109.006,50905.802
"TTL_Q",1.227,0.293,0.258,1.317,4.785,0.949,0.315,0.15,4.876,4.706,0.563,1.877,0.604,2.803,0.635,3.914,1.496,0.07,0.168,4.245,3.359,2.606,1.318,2.058,0.31,2.438,1.564,0.763,1.031,15.797,17.057,2.109,0.519,0.788,0.535,0.315,4.155,0.573,0.635,1.157,2.392,1.127,0.633,1.845,40.453,14.563,78.731,0.362,2.904,0,6269.198,2460.093,7343.419,9.101,0.69,8.992,11.302,2.606,-51.61,16291.139
"TTL_R",0.814,0.222,0.134,0.38,4.14,0.686,0.631,0.115,4.962,2.497,0.483,1.487,0.382,1.935,0.195,2.236,0.742,0.043,0.119,2.063,1.674,1.267,0.953,1.726,0.296,2.259,1.692,0.681,1.023,13.554,24.176,1.256,0.97,0.838,0.584,0.256,12.439,12.952,1.405,1.245,2.253,2.039,1.57,5.089,32.784,18.814,1.218,27.453,13.091,0,3458.175,1850.124,570.112,106.148,0.16,19.311,25.421,413.721,-744.371,5908.626
"TTL_S",21.933,9.319,18.045,27.715,357.202,65.346,46.76,12.951,156.742,176.08,29.779,48.825,12.901,47.22,4.945,69.82,40.672,2.863,3.876,109.128,101.292,42.565,20.969,40.877,4.551,62.319,51.131,17.344,61.413,429.413,754.607,54.161,28.278,34.113,22.517,13.234,326.759,26.291,86.269,90.248,248.281,89.857,31.789,123.194,541.08,376.651,134.442,19.966,2821.028,0,23841.506,3220.458,24.414,3767.648,0.25,10.344,14.874,8.115,-43.02,38761.348
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973.084,0,0,0,0,0,0,0,0,5973.084
"IMP_OTHER",21.44,3.05,7.504,9.135,58.07,18.519,14.046,2.716,-4.213,98.065,9.409,29.715,70.986,114.232,3.18,70.024,16.764,3.29,3.676,49.613,58.974,43.759,23.713,83.448,3.515,37.443,18.454,21.968,7.358,223.833,111.264,64.437,34.777,50.25,5.831,2.375,23.201,2.607,6.436,3.257,4.115,2.776,1.516,9.813,46.086,15.302,5.37,0.86,19.858,0,772.896,1.318,2.659,303.764,43.426,36.018,0,0,0,2691.894
"TXS_INT_FNL",100.656,7.229,11.588,32.88,304.485,60.774,39.996,9.61,513.608,684.517,71.005,145.007,9.675,156.232,13.739,369.264,124.708,23.999,47.703,518.777,275.04,335.681,301.836,880.324,47.509,534.674,205.021,19.845,32.884,2661.786,688.208,53.164,16.809,11.483,14.691,6.364,491.034,24.172,32.508,27.661,36.568,45.833,14.796,59.622,290.83,152.23,56.663,8.382,167.429,0,31085.017,113.362,122.25,12944.372,812.452,0,24.742,1938.41,0,57779.107
"TTL_INT_FNL",35843.414,3488.511,3428.88,8804.791,39672.504,10515.546,8452.959,1361.692,148210.548,56861.002,16864.878,28424.893,59547.851,41056.431,1911.267,35115.869,16897.014,3059.972,5796.183,30362.512,24994.77,21563.757,12466.847,32934.939,2000.804,24248.636,11935.264,37495.698,3937.009,171783.373,73064.275,15038.286,8759.081,9933.617,2979.017,1251.054,41750.485,3584.176,5390.2,2680.466,5820.687,6596.04,1415.104,6331.853,29821.901,14485.052,3670.209,837.845,13623.533,0,732197.798,15431.241,101080.226,413052.011,11403.365,526.158,712.594,320152.683,-272761.383,2467865.387
"VALU",115771.67,7591.309,32386.173,83162.29,37678.687,15563.825,14246.934,6013.097,76378.543,13310.266,5138.515,7213.682,23316.488,14053.867,3743.235,5629.899,5840.223,6069.798,4327.594,40650.443,5644.185,10764.812,3547.77,12347.072,646.937,205.48,4807.976,13124.367,894.776,122666.535,206149.52,31099.551,5361.19,13233.526,9088.447,1915.882,30262.274,8828.101,33744.819,3438.073,51899.532,31723.804,9505.049,8477.583,38633.913,36420.77,12620.937,5070.782,25137.827,5973.084,0,0,0,0,0,0,0,0,0,1261321.113
"LABR",46755.467,3380.884,12755.894,15195.36,4295.018,4822.585,5665.576,1672.394,23794.773,7833.835,2033.902,3493.141,3725.972,4109.218,1478.482,2196.218,3423.185,2535.821,917.723,20771.587,2719.339,5733.867,1858.912,5650.309,424.681,113.894,2554.657,2855.689,443.658,56833.929,93663.76,9140.345,1727.493,5747.116,3844.703,1453.991,19380.445,3234.605,9332.105,1391.444,23814.556,5103.492,3309.286,4363.428,24987.417,27411.646,7587.211,1695.135,12560.954,5973.084,0,0,0,0,0,0,0,0,0,515768.186
"OTXS",3908.402,0,440.607,0.001,888.062,0,492.124,0,1325.781,0,0,342.804,606.618,0,761.553,65.186,0,0,0,0,0,931.719,47.498,902.627,17.169,0.931,0,37.505,0,3745.389,1484.942,0,9.1,237.468,0,-566.315,-4414.11,59.285,0,26.693,536.873,0,0,0,970.718,332.375,0,0,0,0,0,0,0,0,0,0,0,0,0,13191.002
"CFC",13119.634,776.613,5770.79,30188.478,9613.565,3537.487,4101.2,438.79,10434.201,1692.938,670.477,1055.555,3053.662,2297.972,583.92,915.636,1007.883,854.356,511.023,4602.897,1136.319,1195.436,414.861,2658.911,19.564,35.569,440.16,3464.678,226.744,8227.74,15807.296,4947.958,1311.539,0,1749.076,96.735,2142.735,1373.059,11910.936,421.272,3379.441,10440.722,860.229,999.209,9691.565,3686.962,738.615,693.243,1376.381,0,0,0,0,0,0,0,0,0,0,184674.031
"NOPS",51988.167,3433.812,13418.882,37778.451,22882.041,7203.754,3988.033,3901.913,40823.788,3783.493,2434.136,2322.182,15930.235,7646.677,919.281,2452.86,1409.156,2679.622,2898.848,15275.959,1788.527,2903.789,1226.499,3135.225,185.523,55.085,1813.159,6766.495,224.374,53859.478,95193.524,17011.248,2313.058,7248.942,3494.669,931.471,13153.204,4161.153,12501.777,1598.664,24168.663,16179.59,5335.534,3114.947,2984.214,4989.787,4295.111,2682.405,11200.492,0,0,0,0,0,0,0,0,0,0,547687.894
"OUTPUT",151615.084,11079.821,35815.052,91967.082,77351.19,26079.371,22699.892,7374.789,224589.091,70171.268,22003.394,35638.575,82864.338,55110.298,5654.502,40745.768,22737.237,9129.771,10123.777,71012.955,30638.955,32328.569,16014.617,45282.012,2647.741,24454.116,16743.24,50620.065,4831.785,294449.909,279213.795,46137.837,14120.271,23167.143,12067.464,3166.936,72012.759,12412.277,39135.019,6118.539,57720.219,38319.844,10920.153,14809.436,68455.814,50905.822,16291.145,5908.628,38761.361,5973.084,0,0,0,0,0,0,0,0,0,2407391.808
