"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_M",10.869,0,8.277,0,1.571,0.146,2.135,0.876,46.255,1.864,0.511,25.958,0.25,1.704,22.111,6.307,7.821,0.049,0.05,11.063,131.547,3.428,3.256,11.534,2.886,5.293,31.876,144.81,21.945,177.116,192.4,28.07,8.313,348.612,65.722,3.414,104.931,17.793,18.692,237.269,364.392,96.681,715.156,175.832,126.23,22.892,81.274,1585.216,19.129,0,117.775,1.055,5.547,232.398,12.736,2.009,1.467,2527.725,-4103.02,3691.217
"TTL_N",3.804,0,6.801,0,1.322,0.114,1.812,0.383,22.625,1.058,0.409,19.261,0.134,0.871,11.593,4.121,5.156,0.024,0.031,7.181,53.588,2.002,2.221,5.809,1.664,3.125,20.878,90.827,19.985,59.915,122.679,37.753,14.914,608.167,87.622,7.567,91.88,9.837,14.885,168.36,217.552,68.022,223.41,257.014,85.472,24.488,82.388,1239.391,12.227,0,172.448,1.475,80.001,19.425,0.87,3.579,6.22,974.385,-2677.984,2300.76
"TTL_O",0.347,0,0.551,0,0.025,0.005,0.07,0.013,1.646,0.073,0.034,1.268,0.007,0.054,0.6,0.209,0.359,0.003,0.006,0.499,3.385,0.106,0.101,0.308,0.085,0.142,0.943,5.654,1.091,4.671,7.332,3.121,0.661,17.466,3.461,0.272,5.67,0.366,0.651,7.813,10.315,4.513,8.887,5.025,8.218,0.945,4.239,60.152,0.724,0,36.436,0.637,1256.192,18.386,0.03,0.702,2.987,29.829,-34.85,1482.437
"TTL_P",0.077,0,0.169,0,0.018,0.002,0.028,0.011,0.453,0.021,0.007,0.42,0.004,0.023,0.487,0.137,0.101,0.001,0.001,0.127,1.53,0.062,0.048,0.279,0.061,0.115,0.481,1.545,0.274,0.888,2.349,0.549,0.382,10.959,1.232,0.098,1.489,0.192,0.493,10.65,6.74,0.907,5.585,2.401,4.44,3.213,2.7,23.249,0.324,0,143.679,115.192,565.218,33.7,0,15.967,16.939,5.616,-75.422,906.207
"TTL_Q",0.124,0,0.206,0,0.008,0.001,0.009,0.002,0.345,0.018,0.005,0.212,0.002,0.013,0.195,0.076,0.11,0,0.001,0.153,1.354,0.038,0.029,0.081,0.031,0.037,0.282,0.938,0.255,0.705,1.649,0.57,0.055,3.551,0.486,0.071,1.787,0.135,0.106,2.274,3.121,0.379,2.982,1.481,5.415,0.676,89.129,11.662,0.482,0,203.544,31.186,1245.33,1.999,0.04,4.037,11.68,0.239,-23.106,1606.191
"TTL_R",0.166,0,0.33,0,0.049,0.004,0.075,0.013,1.229,0.055,0.031,0.839,0.005,0.047,0.63,0.144,0.212,0.001,0.001,0.282,2.622,0.087,0.083,0.232,0.055,0.105,0.885,3.086,0.702,2.849,6.519,1.788,0.824,36.423,2.522,0.338,5.035,1.833,1.088,36.764,14.698,1.733,18.086,8.956,4.172,1.021,2.992,564.188,0.863,0,326.953,12.678,158.415,69.001,0.26,8.671,23.391,7467.617,-232.908,8558.743
"TTL_S",0.049,0,0.332,0,0.006,0.001,0.016,0.002,0.243,0.025,0.007,0.157,0.001,0.009,0.08,0.034,0.064,0,0,0.087,0.836,0.017,0.017,0.041,0.014,0.023,0.237,0.579,0.213,0.503,1.255,0.354,0.124,3.545,0.591,0.05,3.215,0.138,0.14,2.582,3.995,0.513,2.925,1.933,0.941,0.287,3.281,18.01,2.246,0,122.707,68.17,0.191,1.648,0.01,4.645,12.711,1.176,-15.11,245.864
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.846,0,0,0,0,0,0,0,0,20.846
"IMP_OTHER",0.025,0,-0.053,0,0.02,0.002,-0.042,0.006,-0.253,0.196,0.021,0.835,0.009,0.068,0.369,0.381,-0.182,0.001,0.001,0.332,4.99,0.127,0.11,0.677,0.074,0.206,0.967,1.942,0.349,2.784,2.699,1.132,0.522,18.875,1.302,0.101,1.612,0.261,0.3,4.207,6.98,1.376,6.501,2.938,1.311,0.33,1.447,20.872,0.294,0,27.916,0.018,0.892,9.853,1.251,16.166,0,0,0,143.117
"TXS_INT_FNL",-1.094,0,1.965,0,0.071,0.013,0.166,0.046,-7.089,0.325,0.061,3.063,-0.002,0.04,1.417,1.234,2.196,0.022,0.007,0.832,14.378,0.675,0.499,2.473,0.418,0.559,4.767,-23.233,0.283,27.769,13.74,8.783,1.163,44.631,7.657,0.591,4.135,1.16,1.808,15.781,29.649,10.196,25.754,13.181,7.897,1.497,6.107,96.609,1.234,0,772.692,1.707,-155.846,301.464,14.16,0,53.196,72.179,0,1382.987
"TTL_INT_FNL",81.013,0,244.587,0,9.668,0.894,24.198,3.353,434.138,30.201,6.05,225.052,2.215,18.722,104.542,72.486,168.571,0.894,1.117,144.766,3527.812,42.908,38.508,120.187,26.914,51.116,261.154,866.859,138.645,1277.28,889.238,229.525,250.757,2933.191,456.309,36.832,894.926,85.813,129.01,1972.465,2073.669,589.085,1847.968,900.829,519.434,123.801,587.773,7060.659,95.961,0,7668.638,234.576,3383.405,4946.935,203.041,236.27,895.894,21022.628,-19264.311,48928.168
"VALU",55.31,0,91.869,0,5.276,1.337,28.97,2.295,178.026,22.103,4.295,130.838,0.748,15.504,87.47,71.861,85.898,1.383,1.105,63.586,134.34,21.579,29.75,73.816,15.735,32.323,254.552,147.168,106.639,799.272,1615.619,120.467,43.159,200.394,422.053,33.94,667.178,140.265,275.607,1600.639,1395.741,1146.95,1843.249,1399.931,963.003,782.407,1018.417,1498.085,149.903,20.846,0,0,0,0,0,0,0,0,0,17800.902
"LABR",13.799,0,13.076,0,0.673,0.405,12.561,0.74,102.614,11.034,1.897,59.744,0.13,7.036,37.68,43.078,28.491,0.526,0.456,32.172,68.621,15.66,11.501,28.782,10.189,14.45,130.903,21.705,50.009,220.562,734.501,112.916,40.546,433.154,132.226,23.088,356.797,59.671,45.233,365.982,669.691,46.023,635.645,657.65,713.52,652.111,761.089,486.859,51.671,20.846,0,0,0,0,0,0,0,0,0,7937.712
"OTXS",-100.061,0,0,0,0,0,0,0,-12.635,-3.499,0,-3.852,0,0,0,-2.25,-2.368,0.216,0.191,-0.774,0,-0.732,-0.782,0,0,0,-32.386,0,-14.324,0.187,-67.922,-188.132,-66.62,-526.488,-24.006,0,-209.429,-117.926,0.386,0.04,0.518,0.346,-129.605,-171.92,0,-23.129,-4.476,-31.777,-12.726,0,0,0,0,0,0,0,0,0,0,-1745.935
"CFC",6.421,0,7.33,0,0.502,0.363,9.483,0.215,30.814,3.346,0.283,24.176,0.1,1.911,17.568,10.16,12.981,0.195,0.136,5.796,25.667,1.139,2.263,10.298,0.495,5.239,34.652,46.136,41.875,63.533,100.21,26.742,26.804,16.086,67.073,4.396,70.195,10.37,78.612,155.133,131.465,270.51,131.37,237.754,213.224,53.674,53.719,125.357,15.096,0,0,0,0,0,0,0,0,0,0,2150.865
"NOPS",135.151,0,71.463,0,4.101,0.568,6.925,1.34,57.234,11.222,2.115,50.769,0.518,6.557,32.221,20.874,46.794,0.446,0.322,26.392,40.052,5.513,16.769,34.735,5.051,12.634,121.383,79.327,29.08,514.99,848.83,168.942,42.428,277.643,246.761,6.456,449.615,188.15,151.377,1079.485,594.067,830.07,1205.839,676.448,36.259,99.751,208.085,917.646,95.862,0,0,0,0,0,0,0,0,0,0,9458.26
"OUTPUT",136.323,0,336.456,0,14.944,2.23,53.167,5.649,612.164,52.305,10.345,355.889,2.963,34.226,192.012,144.347,254.469,2.276,2.222,208.351,3662.151,64.487,68.258,194.003,42.649,83.439,515.706,1014.027,245.284,2076.552,2504.857,349.992,293.916,3133.585,878.363,70.772,1562.103,226.079,404.617,3573.105,3469.41,1736.036,3691.217,2300.76,1482.437,906.207,1606.191,8558.744,245.864,20.846,0,0,0,0,0,0,0,0,0,47401.995
