"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_C25",162.422,3.125,6.046,1.624,277.879,23.66,15.506,38.101,513.672,28.984,31.918,43.016,36.887,143.481,57.857,75.806,60.337,298.28,92.614,666.084,129.574,147.792,955.976,1136.674,6.198,40.486,108.92,122.868,10.611,1314.667,292.706,88.798,0.394,17.823,30.071,0.961,61.655,2.529,34.919,16.684,9.652,55.87,85.276,45.518,239.058,39.046,39.173,12.166,28.529,0,695.086,0.012,50.001,2847.446,10.327,1.626,1.4,659.332,-1738.287,10178.838
"TTL_C26",26.415,0.357,1.325,0.098,24.031,1.855,1.836,3.113,31.679,4.307,1.308,10.134,7.832,26.697,15.412,10.435,4.719,4.315,1.277,10.112,789.43,63.799,94.18,112.753,0.775,3.999,15.384,47.07,2.045,76.849,147.956,24.539,0.158,10.936,12.01,1.38,13.914,9.534,261.891,130.907,19.509,9.157,72.248,28.509,82.242,41.381,92.797,9.13,30.43,0,2193.302,0.004,32.597,5882.129,19.983,8.734,12.06,141.281,-5489.751,5192.506
"TTL_C27",39.53,0.487,2.345,0.21,32.105,4.407,4.365,6.5,65.499,6.315,2.437,13.373,7.994,26.219,14.651,15.863,11.574,20.159,31.007,39.76,109.927,215.552,163.434,305.332,0.682,7.987,24.622,169.337,2.98,283.304,140.756,49.194,0.238,11.707,10.794,0.563,18.601,3.073,83.041,23.09,4.934,8.569,43.936,22.274,65.304,17.184,27.952,9.734,16.278,0,2917.194,0.006,4.672,1634.741,6.026,4.152,5.328,188.734,-2877.742,4068.289
"TTL_C28",157.104,6.58,12.262,3.437,540.251,48.938,34.4,75.28,293.711,26.665,15.713,66.634,70.964,96.483,54.131,57.736,80.886,77.539,11.467,118.526,93.26,112.467,1842.861,848.291,5.655,28.093,100.581,281.863,13.61,609.315,395.6,123.419,0.3,14.996,38.56,2.324,29.449,5.295,53.397,34.564,34.497,12.971,108.679,52.851,180.103,49.966,74.345,18.543,24.545,0,565.989,0.023,15.315,13637.722,49.187,1.711,0.836,648.981,-6492.435,15466.435
"TTL_C29",114.663,3.219,4.756,0.598,100.546,12.116,9.286,15.242,219.446,29.582,8.918,34.863,30.642,81.369,45.08,35.894,31.57,33.329,8.155,38.567,37.919,29.468,317.05,4238.03,1.091,10.934,26.662,71.525,6.966,182.249,802.423,411.684,0.481,21.288,33.153,2.281,42.544,3.604,25.762,18.81,14.244,10.273,43.025,35.699,87.777,26.618,46.949,10.278,13.559,0,8672.87,0.126,36.749,11380.739,39.3,7.082,12.601,5475.139,-7032.342,26022.452
"TTL_C301",1.031,0.009,0.34,0.004,0.994,0.076,0.056,0.107,1.162,0.177,0.072,0.247,0.22,1.568,0.421,0.514,0.17,0.201,0.038,0.75,0.266,0.235,2.27,2.167,1.763,1.059,0.475,0.36,0.026,2.046,1.053,1.022,0.286,1.944,0.591,0.006,0.173,0.016,0.109,0.072,0.068,0.116,0.338,0.17,6.395,0.17,0.296,0.07,0.173,0,18.62,0,0.058,163.475,0.615,0.019,0.059,20.088,-72.508,162.317
"TTL_C302T309",2.877,0.061,0.478,0.019,2.605,0.27,0.206,0.41,8.2,0.936,0.228,1.29,0.735,2.53,1.801,2.658,0.73,0.699,0.308,1.11,2.483,1.094,8.584,20.215,0.229,18.587,1.797,1.594,0.119,5.31,10.624,16.264,0.053,12.026,1.049,0.039,1.033,0.103,1.086,0.923,0.394,0.292,1.577,0.843,13.888,0.683,1.907,0.256,0.761,0,464.446,0.001,5.106,314.166,0.982,0.129,0.09,724.62,-746.528,914.975
"TTL_C31T33",144.553,1.587,6.952,0.364,77.159,6.875,9.341,10.547,141.292,29.825,16.172,42.106,26.481,113.903,44.342,48.956,20.171,21.191,4.29,23.058,21.461,14.429,46.594,82.294,0.349,3.365,43.671,104.528,6.232,118.868,134.662,102.034,0.546,50.539,23.184,1.426,35.201,3.137,32.565,18.436,16.537,13.716,40.966,24.231,91.341,48.87,118.654,15.583,14.435,0,2474.544,0.17,119.174,868.054,3.943,33.473,54.779,917.998,-1274.374,5214.783
"TTL_D",473.453,4.305,27.065,2.445,522.273,51.363,51.656,24.09,799.146,83.686,25.52,214.71,393.744,425.833,112.761,96.031,147.106,174.682,37.174,65.486,52.66,27.543,74.047,169.912,0.645,6.533,25.85,2866.168,40.066,123.403,1357.998,725.88,2.146,125.191,111.788,10.497,585.166,21.707,218.097,70.024,123.98,128.215,139.66,68.367,618.857,426.447,334.712,96.186,108.874,0,7518.284,0.303,54.947,4.668,3.224,1.9,2.624,829.088,-497.52,20310.667
"TTL_E",17.602,0.065,0.965,0.056,11.245,2.133,1.218,2.188,36.343,2.561,1.36,27.216,6.961,10.269,5.831,3.204,4.455,50.851,12.447,3.696,1.559,1.032,4.428,5.174,0.034,0.482,1.006,27.212,33.509,11.631,58.037,6.959,0.022,0.479,3.604,0.426,25.484,0.449,2.317,2.129,4.352,8.898,9.168,5.235,131.065,25.321,39.708,3.714,4.558,0,615.19,1.548,132.66,1.136,0.003,0.683,0.06,0.094,-18.098,1351.934
"TTL_F",96.856,3.522,4.205,0.323,40.421,4.29,4.154,11.862,34.919,3.937,1.982,8.117,13.023,11.873,7.041,4.636,8.588,7.619,2.383,8.984,3.518,2.886,9.257,14.269,0.135,0.714,7.244,177.602,12.443,1561.315,237.299,73.046,0.119,2.695,58.272,1.963,56.143,3.698,75.103,10.917,40.573,606.25,113.739,28.32,559.327,123.267,77.748,15.142,19.983,0,17.023,0.005,1.017,44879.312,0.015,11.762,0.114,1.445,-60.56,49021.856
"TTL_G",6597.265,36.949,135.119,5.194,789.884,121.275,125.267,134.82,13665.219,1633.607,303.529,1283.64,1097.063,4257.818,2539.371,1580.792,753.079,909.801,150.369,762.759,822.204,369.771,1573.035,3166.837,9.504,68.38,398.037,1000.882,67.68,3523.924,6334.157,3057.606,9.22,477.045,361.415,35.363,2938.905,110.983,569.073,385.342,315.008,283.903,882.991,591.483,1389.986,561.462,2392.368,231.213,303.703,0,53503.945,9.73,1559.954,10691.707,8.943,197.11,256.947,16103.723,-10266.269,141180.089
"TTL_H49",978.127,22.32,22.566,4.064,584.641,61.633,108.189,76.758,2361.43,161.105,109.217,272.667,451.818,612.464,288.745,212.307,354.939,358.434,81.729,204.543,122.304,78.179,306.201,534.385,1.867,15.644,87.583,429.879,21.093,1085.826,2482.946,2128.674,1.797,55.675,501.689,81.402,432.412,25.673,91.57,60.837,119.06,64.952,256.253,132.595,510.604,288.916,356.33,45.592,99.935,0,9929.714,0.326,60.385,1128.82,0.47,260.796,237.271,2250.873,-1649.169,29967.057
