"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_S",7.531,0.269,0.746,0.712,12.947,0.742,0.873,1.2,7.943,27.752,1.844,3.946,2.318,3.365,1.797,2.029,5.322,1.725,1.32,3.764,7.951,2.589,2.508,3.501,0.378,0.615,6.309,22.986,10.324,8.891,63.521,17.699,3.681,5.163,7.315,1.86,8.988,15.436,51.119,16.363,115.102,16.687,48.183,25.118,70.895,9.958,95.53,14.975,220.107,0,4220.829,1454.871,45.19,50.056,1.769,15.996,9.608,17.814,-23.109,6754.918
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272.404,0,0,0,0,0,0,0,0,1272.404
"IMP_OTHER",-13.886,-0.109,0.207,0.333,3.434,0.316,0.367,0.378,-14.918,1.191,0.53,3.011,13.862,7.988,0.681,2.93,3.345,2.798,1.138,2.786,3.358,2.207,2.548,5.88,0.505,0.448,1.929,25.778,1.879,5.565,7.51,25.963,5.893,10.272,2.478,0.491,-3.568,1.211,2.262,0.711,2.972,1.221,3.097,1.752,6.93,0.374,2.949,0.334,2.088,0,183.645,0.057,1.167,48.646,13.581,55.676,0,0,0,444.194
"TXS_INT_FNL",-623.043,-6.105,3.342,8.605,88.709,8.419,9.582,9.365,-650.037,-34.855,8.258,54.183,11,-7.991,0.018,36.99,74.667,32.751,21.309,30.994,38.649,35.368,31.944,95.405,4.187,6.681,40.557,-67.333,50.514,155.072,167.472,673.467,7.216,7.822,57.707,13.293,-115.571,40.922,74.593,22.345,110.122,52.472,79.455,46.357,224.445,15.968,67.022,17.945,60.715,0,15971.334,26.304,67.945,1358.887,264.59,0,29.768,360.105,0,19169.902
"TTL_INT_FNL",21454.402,336.296,416.143,211.534,3035.028,167.634,229.148,218.974,21595.31,19769.66,1553.553,3369.298,8507.289,5126.583,1468.618,2505.429,3504.528,2202.385,1916.414,2642.479,2443.561,1841.114,2139.369,3320.392,322.261,390.048,1863.637,26022.166,1738.541,6719.726,16555.983,7176.583,3178.593,2217.068,2074.999,403.817,6977.454,2188.368,4536.739,892.89,5409.099,3140.251,4362.344,2566.062,9400.64,1116.478,6279.319,1490.917,3353.367,0,250215.663,3197.119,31480.663,40753.079,4014.48,813.625,481.22,28710.771,-59648.775,530370.337
"VALU",65752.725,1197.029,885.679,225.366,4499.015,205.988,306.043,285.759,11160.734,14873.316,1106.04,2328.01,2828.243,2951.592,1049.421,1285.984,2765.304,1189.863,900.709,2047.682,1517.953,1009.125,1690.42,2209.647,309.663,336.083,1255.478,3674.57,1824.03,8427.804,30110.833,8086.924,2547.492,1577.827,2385.755,622.125,7977.633,2214.819,6493.748,1568.07,10544.738,13608.73,7962.622,5303.154,13403.862,7500.675,11799.042,1921.969,3401.562,1272.404,0,0,0,0,0,0,0,0,0,280403.258
"LABR",7826.619,208.043,161.52,40.009,284.234,41.479,75.273,98.654,4166.323,6774.801,335.77,905.501,219.094,723.253,290.988,527.098,1042.758,385.259,329.343,844.031,516.705,427.753,706.052,852.833,155.818,100.644,539.308,508.385,575.415,2784.995,8797.07,3115.213,703.273,624.26,717.902,367.579,2978.165,835.226,1218.778,764.303,2471.092,356.282,2935.815,2178.129,7681.596,5374.015,7264.267,692.427,1305.897,1272.404,0,0,0,0,0,0,0,0,0,84101.652
"OTXS",-5655.206,40.3,23.59,0,377.326,0,16.914,0,580.331,300.567,13.135,70.876,137.884,142.966,6.207,36.401,158.508,0.612,5.458,42.322,1.113,56.122,74.85,83.734,8.588,22.221,33.127,0,28.883,652.552,2936.411,88.713,0,162.216,59.357,39.908,567.976,0,43.311,1.59,747.311,283.188,141.051,218.19,0,7.812,159.713,104.193,175.41,0,0,0,0,0,0,0,0,0,0,2995.732
"CFC",3030.934,50.938,69.166,43.988,554.487,21.752,43.614,8.877,717.212,843.016,63.511,153.309,159.878,221.624,67.857,101.182,216.454,74.261,48.407,102.294,140.962,48.65,88.092,230.304,3.787,25.7,49.784,461.161,219.449,237.195,977.839,618.184,304.791,0,213.025,14.003,240.039,160.363,1191.699,90.331,283.106,2172.093,313.873,279.294,1814.606,367.42,303.248,122.794,77.613,0,0,0,0,0,0,0,0,0,0,17642.164
"NOPS",60550.379,897.748,631.403,141.369,3282.967,142.758,170.242,178.228,5696.867,6954.932,693.624,1198.325,2311.387,1863.749,684.368,621.304,1347.585,729.73,517.501,1059.034,859.172,476.601,821.425,1042.776,141.469,187.518,633.259,2705.024,1000.283,4753.062,17399.514,4264.814,1539.429,791.351,1395.471,200.635,4191.454,1219.23,4039.961,711.847,7043.229,10797.166,4571.883,2627.54,3907.659,1751.427,4071.814,1002.555,1842.642,0,0,0,0,0,0,0,0,0,0,175663.71
"OUTPUT",87207.127,1533.325,1301.823,436.9,7534.043,373.622,535.191,504.733,32756.044,34642.976,2659.593,5697.308,11335.533,8078.175,2518.039,3791.413,6269.832,3392.248,2817.123,4690.161,3961.514,2850.239,3829.788,5530.039,631.924,726.131,3119.115,29696.736,3562.571,15147.53,46666.817,15263.507,5726.085,3794.895,4460.754,1025.942,14955.088,4403.186,11030.487,2460.96,15953.837,16748.981,12324.966,7869.216,22804.502,8617.153,18078.362,3412.885,6754.929,1272.404,0,0,0,0,0,0,0,0,0,510755.751
