"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_D",53.161,5.24,9.718,1.543,0.424,0.643,17.989,0.689,124.043,31.722,31.15,62.507,76.5,26.976,12.532,31.696,112.141,21.806,9.627,63.445,9.011,27.44,24.78,4.184,7.644,1.735,49.888,2368.843,77.372,80.199,423.043,102.459,2.607,1.928,59.224,7.568,263.157,20.448,48.075,25.805,50.47,64.886,78.53,53.642,186.269,68.562,115.506,116.358,73.23,0,1884.929,0.036,238.517,96.623,1.133,0.523,6.328,584.604,-828.063,7091.047
"TTL_E",16.111,0.918,2.271,0.142,0.032,0.093,1.757,0.25,34.711,8.085,8.518,24.399,11.526,10.952,4.841,10.414,15.082,18.465,9.025,14.07,1.635,5.808,6.183,0.806,1.943,0.482,9.457,71.563,246.72,41.129,72.948,9.236,1.266,0.594,8.744,1.355,45.882,2.182,2.172,3.149,7.437,14.516,19.364,12.722,120.335,14.869,46.001,16.704,12.214,0,561.597,0.016,56.698,48.803,1.091,0.154,30.257,161.285,-31.652,1817.328
"TTL_F",25.874,8.441,4.591,0.374,0.064,0.119,5.689,0.688,45.392,9.543,16.624,9.427,11.957,4.871,5.021,12.564,85.065,3.508,1.461,29.475,3.863,23.083,14.664,2.624,5.01,0.789,45.548,198.29,35.202,1434.877,184.641,49.446,10.02,6.15,85.628,3.698,61.19,6.303,23.273,8.257,24.158,228.288,125.743,29.684,221.757,27.169,45.193,29.637,19.995,0,248.35,0.172,45.433,6121.776,23.937,3.214,48.547,752.707,-84.939,10394.128
"TTL_G",263.921,40.235,37.74,1.056,0.218,0.537,13.75,1.564,659.375,253.901,180.422,150.47,242.652,97.246,100.954,142.245,169.065,27.842,10.573,213.562,45.027,124.135,118.034,56.271,34.724,7.461,204.543,427.732,50.804,796.597,632.993,373.634,75.9,62.471,86.802,13.909,468.393,33.784,34.656,46.027,57.162,45.73,173.539,168.839,189.053,48.829,384.581,107.148,86.876,0,4422.448,0.693,414.776,1482.031,453.312,54.216,619.953,2750.876,-4958.075,12803.213
"TTL_H49",27.907,6.48,3.381,0.436,0.085,0.121,5.559,0.455,79.519,18.278,26.577,21.877,55.697,10.525,9.389,17.848,38.893,8.197,3.508,42.776,6.022,21.9,20.463,4.856,5.299,1.413,30.108,93.953,29.569,129.545,187.955,89.258,5.752,3.54,51.398,11.103,49.415,6.354,5.74,6.778,13.933,7.41,34.305,76.116,43.04,11.466,40.056,16.763,14.279,0,568.989,0.39,605.476,49.033,31.487,71.7,965.001,899.607,-823.847,3763.13
"TTL_H50",9.174,1.908,1.604,0.044,0.016,0.021,0.836,0.057,24.678,6.267,7.788,5.621,14.85,3.116,3.039,5.458,8.829,1.638,0.765,11.02,1.732,6.121,5.41,2.002,1.502,0.364,8.402,19.382,1.859,37.994,33.597,12.78,27.932,0.796,15.318,0.555,15.462,1.172,1.112,1.533,1.695,1.504,6.587,8.575,6.48,1.632,11.33,3.567,2.786,0,125.579,0.025,12.112,26.395,3.485,16.079,196.918,177.979,-134.834,769.648
"TTL_H51",2.394,0.289,0.271,0.011,0.006,0.005,0.158,0.017,5.872,1.76,1.542,1.647,4.566,1.011,0.991,1.817,1.894,0.351,0.237,2.73,0.569,1.945,1.539,0.495,0.392,0.114,2.313,6.217,0.571,8.838,9.238,2.146,0.335,2.039,4.147,0.88,4.057,0.55,0.579,1.017,2.403,0.574,3.968,10.206,3.975,0.731,3.717,1.578,1.314,0,31.396,0.011,3.275,2.916,2.497,47.762,182.16,67.946,-107.357,334.621
"TTL_H52",13.308,3.986,3.796,0.288,0.049,0.085,2.444,0.36,41.55,8.528,15.257,10.883,22.602,4.549,4.547,7.281,17.66,2.761,1.137,18.379,2.774,10.575,9.948,5.928,2.509,0.693,17.353,40.496,9.868,64.132,305.598,137.961,47.277,30.88,240.32,8.479,24.202,4.756,17.114,19.803,13.709,4.242,29.978,37.924,33.066,4.305,16.457,12.52,8.788,0,300.493,0.515,70.891,90.861,13.991,4.032,139.288,638.044,-231.46,2367.757
"TTL_H53",1.249,0.202,0.215,0.016,0.003,0.004,0.124,0.026,2.327,1.049,0.737,1.05,0.403,0.269,0.48,0.467,0.737,0.096,0.043,1.015,0.198,0.651,0.867,0.272,0.184,0.042,1.604,6.781,0.917,3.931,52.212,3.693,0.254,0.225,5.461,36.508,6.57,2.942,5.803,4.767,23.409,2.014,13.958,7.429,20.126,2.347,5.105,4.846,6.228,0,87.69,0.001,1.086,7.381,0.749,1.623,33.766,70.762,-46.486,386.431
"TTL_I",30.583,1.312,3.897,0.043,0.013,0.03,0.653,0.084,100.223,3.766,2.98,2.361,2.041,1.754,2.406,1.692,2.453,0.412,0.2,3.689,0.646,2.571,2.317,0.423,0.674,0.131,6.221,13.422,3.658,49.952,55.75,11.152,1.876,2.016,11.914,1.297,101.894,8.389,5.132,9.221,17.567,9.761,38.883,66.676,39.105,9.407,18.873,19.104,14.628,0,2070.574,0.517,70.918,195.435,0.928,400.654,4221.232,207.74,-407.602,7443.648
