"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_L",6.346,7.999,0.511,0.46,5.38,0,1.149,0.154,31.203,12.864,15.1,9.373,0.962,3.996,0.723,4.342,6.099,0.133,0.645,19.486,18.897,9.769,4.86,3.662,1.523,0.033,26.192,19.174,9.496,57.62,533.975,39.015,5.217,3.213,211.656,15.184,127.654,14.848,32.392,152.815,66.19,299.163,137.423,88.148,58.364,48.735,49.404,61.831,40.866,0,2896.289,59.84,101.397,232.558,0.16,73.825,70.664,113.488,-93.985,5718.48
"TTL_M",41.92,10.688,1.479,1.407,16.449,0,3.148,1.109,114.737,23.191,27.513,18.336,3.179,18.358,4.171,14.457,18.567,0.436,1.421,40.179,90.943,28.583,14.974,17.12,3.261,0.136,46.882,82.456,24.31,173.787,489.325,45.871,9.129,7.306,201.4,12.525,68.9,41.061,57.094,284.019,137.122,223.924,592.198,161.215,118.575,56.119,54.31,74.308,47.911,0,110.448,0.881,148.979,354.571,4.885,7.897,6.258,1328.338,-1520.047,3967.721
"TTL_N",19.993,15.249,1.21,1.18,15.514,0,2.971,0.543,34.775,8.46,15.137,8.919,1.371,6.679,1.125,5.123,9.82,0.15,0.6,16.613,21.198,11.408,6.802,5.27,1.14,0.052,19.997,31.11,20.973,77.795,174.545,57.69,19.342,15.68,159.518,13.049,31.592,16.165,26.826,126.7,40.087,92.481,104.212,145.998,63.677,40.344,30.406,45.656,17.824,0,205.169,0.615,3.042,37.283,2.238,14.065,13.368,908.123,-518.093,2248.778
"TTL_O",2.216,1.304,0.085,0.068,0.4,0,0.117,0.027,3.542,1.011,2.277,0.939,0.125,0.659,0.121,0.539,0.657,0.017,0.09,2.138,1.544,1.128,0.593,0.493,0.123,0.005,1.76,4.186,1.62,7.52,21.282,6.244,0.743,0.438,12.701,0.991,3.861,1.03,2.518,19.059,4.267,14.155,9.581,5.222,11.97,3.172,3.244,3.892,2.088,0,56.232,1.192,2680.164,27.632,0.17,2.761,1.537,37.553,-23.242,2945.761
"TTL_P",0.794,0.69,0.057,0.019,0.335,0,0.088,0.013,1.482,0.387,0.658,0.34,0.111,0.322,0.096,0.245,0.387,0.012,0.063,0.972,1.686,0.912,0.416,0.246,0.097,0.005,1.283,1.944,0.794,2.27,9.019,1.961,0.481,0.554,7.155,0.468,1.435,0.834,2.66,20.712,4.883,4.393,11.538,6.812,12.481,30.641,3.6,3.504,1.862,0,135.313,74.463,1674.301,21.916,0,62.741,29.336,14.294,-84.877,2069.204
"TTL_Q",0.634,0.739,0.076,0.067,0.206,0,0.026,0.007,1.686,0.373,0.513,0.334,0.043,0.256,0.077,0.294,0.564,0.006,0.033,1.245,1.098,0.607,0.283,0.203,0.072,0.002,0.862,0.947,0.6,2.063,8.269,2.07,0.141,0.151,3.209,0.447,2.107,0.442,0.569,4.723,1.801,2.616,4.184,2.536,6.935,3.493,106.53,2.026,1.92,0,421.454,44.024,1735.958,3.229,0.21,15.868,20.566,3.419,-23.511,2389.301
"TTL_R",0.553,0.626,0.046,0.019,0.151,0,0.047,0.006,1.975,0.43,0.626,0.424,0.037,0.28,0.041,0.251,0.325,0.007,0.028,0.849,0.915,0.429,0.278,0.22,0.083,0.002,1.118,0.899,0.703,1.977,11.148,1.309,0.332,0.18,3.577,0.364,4.726,7.764,1.091,6.351,1.929,3.683,13.868,4.858,6.337,4.423,1.586,97.965,10.831,0,421.098,159.173,305.063,8.816,0.08,34.075,45.287,112.092,-71.774,1209.581
"TTL_S",1.314,1.029,0.323,0.044,0.352,0,0.134,0.019,2.925,1.138,2.151,0.525,0.083,0.449,0.062,0.335,0.747,0.016,0.048,1.565,1.653,0.624,0.38,0.263,0.086,0.003,1.701,1.458,1.611,3.226,13.669,2.852,0.645,0.311,8.115,0.591,8.421,1.253,1.509,9.021,5.714,6.307,11.038,8.102,5.231,3.921,11.208,6.87,24.543,0,266.174,238.649,25.462,4.296,0.18,18.254,24.971,6.988,-28.704,709.86
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.908,0,0,0,0,0,0,0,0,19.908
"IMP_OTHER",3.411,1.459,0.543,0.217,2.585,0,0.47,0.051,0.28,3.003,7.085,2.371,28.225,6.44,0.264,2.894,3.746,0.121,0.367,4.338,7.579,4.021,2.147,5.6,0.374,0.015,4.754,61.584,1.81,12.008,15.643,16.409,2.904,2.8,11.075,1.005,1.71,0.641,1.238,8.184,1.592,2.751,5.28,3.541,3.24,1.404,3.374,1.384,1.267,0,62.287,0.005,2.739,25.371,19.335,63.524,0,0,0,426.464
"TXS_INT_FNL",67.468,34.737,9.187,1.787,10.139,0,4.703,0.476,73.122,16.385,37.179,16.181,1.05,6.354,1.125,15.346,23.712,0.866,1.914,23.132,22.6,17.922,10.533,19.142,1.889,0.066,33.618,4.598,25.162,108.964,184.367,260.619,3.05,1.693,147.89,12.653,42.232,6.581,11.336,40.604,20.955,51.327,52.966,41.917,51.956,25.008,33.808,24.134,18.694,0,1860.727,18.289,91.912,552.718,107.9,0,78.26,236.987,0,4567.942
"TTL_INT_FNL",1205.858,955.179,59.021,26.523,201.207,0,61.698,7.164,2032.636,456.33,3205.45,474.597,375.149,582.652,48.205,456.691,576.355,25.75,71.841,1585.672,1307.809,790.957,529.802,543.828,113.034,3.06,1146.681,1945.375,639.935,3848.496,3740.612,1502.483,292.207,207.717,2475.338,204.287,848.92,274.897,412.788,3082.982,797.515,1815.097,1952.6,1043.394,978.802,543.221,860.749,607.41,402.243,0,17686.714,609.403,7378.055,10179.484,1664.657,928.532,1063.045,26382.96,-27394.45,83818.617
"VALU",486.267,394.569,38.983,21.653,223.824,0,69.077,5.575,543.884,176.568,993.005,164.152,68.595,127.904,20.138,183.242,211.748,24.481,11.877,583.116,318.077,252.085,225.144,126.245,44.479,0.772,515.465,1709.324,205.667,2133.937,3950.816,876.912,153.76,48.39,890.593,103.058,552.867,350.075,401.715,1700.121,1520.763,3903.089,2015.121,1205.385,1966.96,1525.984,1528.552,602.17,307.617,19.908,0,0,0,0,0,0,0,0,0,33503.706
"LABR",196.146,146.535,14.733,8.184,80.492,0,24.15,1.495,352.763,147.075,519.377,103.451,37.869,74.632,14.892,131.527,155.692,19.357,6.717,420.555,214.842,187.58,148.31,108.257,37.305,0.52,411.912,213.173,105.674,1402.61,2320.822,517.059,101.299,36.523,397.809,86.316,441.5,168.58,154.513,1367.477,602.842,268.741,1135.913,784.84,1405.574,1345.895,1313.937,355.295,214.28,19.895,0,0,0,0,0,0,0,0,0,18324.937
"OTXS",-237.948,4.059,1.145,3.008,36.674,0,15.789,0.942,0.23,-0.196,0.891,-1.051,7.505,-0.082,-0.024,-0.158,0.65,-0.414,0.433,-0.281,-0.2,-0.315,0.068,-3.296,-4.602,0.001,-0.315,-52.184,3.961,1.276,-4.02,2.03,0.096,-0.279,-3.424,-2.335,-16.709,-1.991,0.12,-1.588,36.305,26.897,-4.476,-0.593,3.622,-3.278,-3.223,-4.876,-1.156,0.013,0,0,0,0,0,0,0,0,0,-203.297
"CFC",190.725,64.229,15.113,10.461,106.658,0,27.704,0.658,111.119,24.908,135.793,39.114,55.952,26.993,5.662,32.114,35.893,2.892,1.392,70.12,77.397,31.381,24.214,13.803,5.523,0.125,57.398,358.935,104.875,198.756,428.989,261.341,51.817,23.988,225.448,20.905,68.062,77.38,165.617,261.127,133.019,1073.266,303.162,185.121,557.763,179.024,123.656,108.185,36.656,0,0,0,0,0,0,0,0,0,0,6114.434
"NOPS",337.344,179.746,7.992,0,0,0,1.434,2.479,79.772,4.781,336.945,22.638,-32.732,26.36,-0.392,19.76,19.513,2.645,3.334,92.722,26.038,33.439,52.552,7.481,6.253,0.126,46.47,1189.399,-8.842,531.295,1205.024,96.481,0.548,-11.842,270.76,-1.828,60.015,106.105,81.465,73.106,748.596,2534.184,580.522,236.016,0,4.343,94.182,143.567,57.838,0,0,0,0,0,0,0,0,0,0,9267.633
"OUTPUT",1692.125,1349.748,98.004,48.176,425.032,0,130.775,12.738,2576.519,632.897,4198.455,638.749,443.744,710.556,68.343,639.932,788.103,50.231,83.718,2168.787,1625.886,1043.042,754.946,670.073,157.513,3.832,1662.146,3654.699,845.602,5982.433,7691.428,2379.395,445.967,256.107,3365.931,307.345,1401.787,624.972,814.503,4783.103,2318.278,5718.186,3967.721,2248.778,2945.762,2069.204,2389.301,1209.581,709.86,19.908,0,0,0,0,0,0,0,0,0,78823.923
